name,gnd_id
J. Schuberth & Co. (Leipzig),5330993-5
C. F. Kahnt (Firma),107297469X
Breitkopf & Härtel,4098323-7
B. Schott's Söhne,4053219-7
"Simon Richault, éditeur de musique (Paris)",1087169771
Meser'sche Kunst- und Musikalienhandlung,1073053105
Táborszky & Parsch (Budapest),1073088928
J. Rieter-Biedermann (Firma),1073010120
Strassburger Männergesangverein,509434-3
Karl Ernst Henrici (Berlin),122172-3
"Leo Liepmannssohn, Antiquariat",5035448-6
Neu-Weimar-Verein,6027255-7
Arnold Simon (Hannover),1072883147
Gut Nohant (Nohant-Vic),4698013-1
Meininger Hofkapelle,3071611-1
"Simon Richault, éditeur de musique (Paris)",1087169771
Liszt-Museum (Weimar),10178948-8
J. A. Stargardt (Firma),31644-1
Klassik Stiftung Weimar,6045529-9
Großherzogliches Hoftheater Weimar,253997-4
