edwoca,Name (RD),Name (abweichend),Infos,Art,GND-ID,Name GND
RD,Giovanni Ricordi,,,Körperschaft,,
RD,Schiller-Zentenarfeier 1859,,,Körperschaft,,
RD,Musikverleger Pacini,,,Körperschaft,,
GND,,,,Person,1077753411,
GND,,,,Geografika,4013810-0,Eilsen
GND,,,,Geografika,4008065-1,Braunschweig
RD,Comité des Unterstützungsvereins für bedürftige ungarische Musiker in Pest,,,Körperschaft,,
RD,Comité des Wagner-Vereins Berlin,,,Körperschaft,,
RD,"Fischer, Wilhelm",,,Person,,
RD,"Seydlitz, Georg Freiherr von",,,Person,,
RD,"Repos, E.",,,Person,,
RD,Étienne Repos,,,Körperschaft,,
RD,"Salvagni, Fortunato",,,Person,,
RD,Hofmusikalienhandlung,,,Körperschaft,,
GND,,,,Person,119223368,"Thewrewk von Ponori, Emil"
RD,"Nicolai, Wilhelm Frédéric Gerhard",,,Person,,
RD,"Erard, [Camille]",,,Person,,
RD,Musikverleger B. Bessel,,,Körperschaft,,
GND,,,,Person,119224151,"Cui, Cäsar"
RD,awdas,,,Körperschaft,,
RD,Erard,,,Körperschaft,,
RD,Liszts Weimarer Freunde,,,Körperschaft,,
RD,"Gentilucci, Romualdo",,,Person,,
RD,Musikverleger Pustet,,,Körperschaft,,
RD,Victor Mattasovich,,Kopist um 1912,Person,,
RD,"De Villers, Alexandre",,Brief an Marie D'Agoult vom 01.05.1844 aus Paris,Person,,
RD,"Seydlitz, Georg von",,"Adressat Brief von Liszt 16.01.1847 und 28.03.1848 sowie 18.12.1851 und 27.03.1852
1042970610 oder 133376206 ?",Person,,
RD,"Sayn-Wittgenstein, Eugène",,Neffe von Carolyne,Person,,
RD,Étienne Repos,,Französischer Verleger,Person,,
RD,"Érard, Camille",,"Witwe von Pierre Èrard, 1813-1889",Person,,
RD,"Volger, Otto",,Offizier?,Person,,
RD,"Téleky, Sándor",,Briefpartner 1876,Person,,
RD,"von Fabry, Amalie",,Haushälterin in Budapest,Person,,
RD,"de Soistounoff, Madeleine",,Korrespondenzpartnerin 1881,Person,,
RD,"Tardieu, Malwine",,"Korrespondenzpartnerin 1882; Malwine Tardieu war eine Brüsseler Bekannte und Korrespondenzpartnerin von Franz Liszt in dessen späten Lebensjahren. Sie war mit Charles Tardieu verheiratet, dem Chefredakteur der Zeitung L'Indépendance Belge.",Person,,
RD,"Wereschagin, Alexander",,"Korrespondenzpartner, 1882; russischer Oberst, Autor und Bruder des berühmten Kriegsmalers Wassili Wereschtschagin",Person,,
RD,"Klausner, Karl",,"Arrangeur, Herausgeber (?)",Person,,
RD,"Navrátil, Carl",,Carl Navrátil (1836–1914) war ein österreichischer Komponist und Jurist,Person,,
RD,"Pavy à la Glacière, Lydie",,Korrespondenzpartnerin 1836,Person,,
RD,"Beauvau, Ludmilla",,"Ludmilla von Beauvau (1819–1881) stammte aus der polnisch-französischen Familie Komar und war eine Schwester von Delphine Potocka, einer bekannten Freundin Chopins.",Person,,
RD,"Stainlein-Säulenstein, Valerie",,Briefpartnerin 1868,Person,,
RD,"Thalberg, Francesca",,Ehefrau von Sigismond Thalberg,Person,,
RD,"Schmitt, Hans",,Korrespondenzpartner 1875,Person,,
RD,"Lynen, Victor",,"Geschäftsmann aus Antwerpen, 1834-1894",Person,,
RD,"Lynen, Marie",,Frau von Victor Lynen,Person,,
RD,"Mohr, Josef",,"Hermann Joseph Mohr, Pater und Kirchenmusiker",Person,,
RD,"Ollivier, Adolphe",,1829 geb. (?),Person,,
RD,"Alfieri, Marie",,Korrespondenzpartnerin in Rom 1879,Person,,
RD,"von Moukhanoff, Marie",,"Marie von Moukhanoff , geb. Gräfin Nesselrode; Korrespondenzpartnerin 1872",Person,,
RD,"Muiszech, Georges",,Korrespondenzpartner 1847,Person,,
RD,"de Gournay, Rodolphe",,Korr.-Partner in Grenoble 1866,Person,,
RD,"Senart, Jules",,"gest. 1900 in Dijon, Liszt-Schüler",Person,,
RD,"Aubry, Francois",,Korrespondenzpartner 1886 in Paris,Person,,
RD,"Champagny-Rospigliosi, Fanny",,Korrespondenzpartnerin 1868 und 1883,Person,,
RD,"Laager, Annette",,Korrespondenzpartnerin in Venedig 1838,Person,,
GND,,,,Person,116436085,"Reményi, Eduard"
GND,,,,Person,117386979,"Siloti, Alexander"
GND,,,,Person,1396003312,"Muir-Mackenzie, Dorothea Frances"
GND,,,,Person,118611666,"Schumann, Robert"
GND,,,,Person,1347910921,"Segatta, Anna"
GND,,,,Person,134793135X,"Darboville, Georges"
GND,,,,Person,1347935991,"Mililotti, Giuseppe"
GND,,,,Person,1347940553,"Landmesser, Theophil"
GND,,,,Person,1347941843,"Monnier, Étienne"
GND,,,,Person,1347944117,"Mlinarić, Stjepan"
GND,,,,Person,1347945407,"Augusz, Helene"
GND,,,,Person,1348011688,"Vény, Jenny"
GND,,,,Person,134966202X,"Löwy, Simon"
GND,,,,Person,1349665320,"Pelet-Narbonne, Madame"
GND,,,,Person,1349673188,"Revesz-Ferryman, Francis"
GND,,,,Person,140978194,"Michell, Gustav"
GND,,,,Person,118729225,Louis Ferdinand
GND,,,,Person,1132516730,"Van Bree, J. J."
GND,,,,Person,1350303895,"Krautwald, Josephine von"
GND,,,,Person,1315047934,"Bösendorfer, Céleste"
GND,,,,Person,11709286X,"Mohr, Révérend Père"
GND,,,,Person,1350305596,"Corning Clark, Alfred"
GND,,,,Person,173597998,"Cornell, J. H."
GND,,,,Person,1351392514,"Falcioni, Zeffirino"
GND,,,,Person,1351392913,"Rubinstein, Wera Aleksandrovna"
GND,,,,Person,142252573,"Gobbi, Henri"
GND,,,,Person,135952204,"Chotek, Bohuslaw"
GND,,,,Person,1351445987,"Loudon, Charlotte"
GND,,,,Person,1351446010,"Loudon, Emily"
GND,,,,Person,1351451952,"Brisson Alberti, Mademoiselle"
GND,,,,Person,116066083,"Kastner, Imre"
GND,,,,Person,116205172,"Plank, Fritz"
GND,,,,Person,1351468197,"Ságh, József"
GND,,,,Person,1351474367,"Vegh, Angélica de"
GND,,,,Person,1351487590,"Festetics, Léo Madame"
GND,,,,Person,1351489216,"Arkövy, Catherine"
GND,,,,Person,116653639,"Glaser, Conrad"
GND,,,,Person,129317071,"Albach, I. S."
GND,,,,Person,118523708,"Dante, Alighieri"
GND,,,,Person,118622110,"Thomas, von Aquin, Heiliger"
GND,,,,Person,118646192,"Auber, Daniel-François-Esprit"
GND,,,,Person,116225203,"Bache, Walter"
GND,,,,Person,11850553X,"Bach, Johann Sebastian"
GND,,,,Person,118574892,"Ludwig II., Bayern, König"
GND,,,,Person,116098023,"Beauchesne, Alfred de"
GND,,,,Person,118508288,"Beethoven, Ludwig van"
GND,,,,Person,135916488,"Beethoven, Ludwig van"
GND,,,,Person,116233249,"Bohrer, Sophie"
GND,,,,Person,118517104,"Bürger, Gottfried August"
GND,,,,Person,134624165,"Büsser, Henri"
GND,,,,Person,129089117,"Calvocoressi, Michel D."
GND,,,,Person,118520237,"Chateaubriand, François-René de"
GND,,,,Person,118520539,"Chopin, Frédéric"
GND,,,,Person,135008220,"Cossmann, Bernhard"
GND,,,,Person,116857218,"Craigher, Jakob Nikolaus"
GND,,,,Person,116020768,"Damrosch, Leopold"
GND,,,,Person,118945866,"Dantan, Jean-Pierre"
GND,,,,Person,101057903,"Dessauer, Josef"
GND,,,,Person,118776223,"Joachim, Josef"
GND,,,,Person,118509675,"Berlioz, Hector"
GND,,,,Person,116137452,"Dingelstedt, Jenny"
GND,,,,Person,118525751,"Dingelstedt, Franz"
GND,,,,Person,116180110,"Doppler, Karl"
GND,,,,Person,1052833799,"Dubez, Peter"
GND,,,,Person,101142072,"Reinsberg-Düringsfeld, Ida von"
GND,,,,Person,120859718,"Reinsberg-Düringsfeld, Otto von, Freiherr"
GND,,,,Person,116259256,"Dux, Adolf"
GND,,,,Person,118552589,"Hoffmann von Fallersleben, August Heinrich"
GND,,,,Person,1067651438,"Fidler, Karoline"
GND,,,,Person,117735108,"Bériot, Charles Wilfrid de"
GND,,,,Person,118767933,"Venantius, Fortunatus"
GND,,,,Person,118535196,"Freiligrath, Ferdinand"
GND,,,,Person,118693948,"Fuchs, Aloys"
GND,,,,Person,11853811X,"Geibel, Emanuel"
GND,,,,Person,118538659,"Gerhardt, Paul"
GND,,,,Person,118695398,"Glinka, Michail Ivanovič"
GND,,,,Person,116182776,"Dorn, Heinrich"
GND,,,,Person,116978759,"Zellner, [Leopold Alexander]"
GND,,,,Person,118645501,"Apponyi, Albert"
GND,,,,Person,116755741,"Goldschmidt, Adalbert von"
GND,,,,Person,104304219,"Maria, Sachsen-Weimar, Großherzogin"
GND,,,,Person,118720074,"Halm, Friedrich"
GND,,,,Person,117172634,"Müllerhartung, Carl"
GND,,,,Geografika,4461205-9,San Girolamo degli Schiavoni (Rom)
GND,,,,Geografika,4494793-8,Pępowo
GND,,,,Geografika,4029705-6,Karlsbad
GND,,,,Geografika,4029405-5,Kamjanez-Podilskyj
GND,,,,Geografika,4341887-9,Wyschniwez
RD,"de Bigarne, [...]",,Brief-Bezug,Person,,
RD,"Dupin, [Sophie]",,Brief-Bezug,Person,,
RD,"Pacini, [...]",,Brief-Bezug,Person,,
RD,"Büloz, [...]",,Brief-Bezug,Person,,
RD,"von Spiegel, [...]",,Brief-Bezug,Person,,
RD,"Gomez, Eugenio",,Brief-Bezug,Person,,
RD,"Fiorentino, [...]",,Brief-Bezug,Person,,
RD,"Rondonneau, [...]",,Brief-Bezug,Person,,
RD,"von Dornis, [...]",,Brief-Bezug,Person,,
RD,"Teleky, Sandor",,"Brief-Bezug, = Alexander Teleky?",Person,,
RD,"Escudier, [...]",,Brief-Bezug,Person,,
RD,"Beaulieu-Marconnay, [...]",,Brief-Bezug,Person,,
RD,"von Seiler, [Johann Kaspar]",,Brief-Bezug,Person,,
RD,"Schariezer, Georg",,Brief-Bezug,Person,,
RD,"Schestakoff, Ludmilla",,Brief-Bezug,Person,,
RD,"von Eugenhardt, Basil",,Brief-Bezug,Person,,
RD,"Suermondt, Johanna",,Brief-Bezug,Person,,
RD,"Wilkoszewski, [...]",,Brief-Bezug,Person,,
RD,"Boisselit, Xavier",,Brief-Bezug,Person,,
RD,"Müller, Franz",,Brief-Bezug,Person,,
RD,"Schwendtner, [...]",,Brief-Bezug,Person,,
RD,"Cuturi, [...]",,Brief-Bezug,Person,,
RD,"Giacomelli, A. [?]",,Brief-Bezug,Person,,
RD,"Bessel, B.",,Brief-Bezug,Person,,
RD,"Skiwa, [...]",,Brief-Bezug,Person,,
RD,"Feustel, F.",,Brief-Bezug,Person,,
RD,"Bessel, [...]",,Brief-Bezug,Person,,
RD,"Elion, J.",,Brief-Bezug,Person,,
RD,"della Rocca, [...]",,Brief-Bezug,Person,,
RD,"Dumonceau, H.",,Brief-Bezug,Person,,
RD,"de Keudell, [...]",,Brief-Bezug,Person,,
RD,"Gobineau, [...]",,Brief-Bezug,Person,,
RD,"Böhm, Jos.",,Brief-Bezug,Person,,
RD,"Bassani, [...]",,Brief-Bezug,Person,,
RD,"Reisenauer-Pauly, [...]",,Brief-Bezug,Person,,
RD,"von Jagemann, F.",,Brief-Bezug,Person,,
RD,"Meyer, Arthur",,Brief-Bezug,Person,,
RD,"Saissy, [...]",,Brief-Bezug,Person,,
RD,"Wrangell, Baronin [Carolin?]",,Brief-Bezug,Person,,
RD,"Rahter, [...]",,Brief-Bezug,Person,,
RD,"von Király, J. P.",,Brief-Bezug,Person,,
RD,"von Munácsy, [...]",,Brief-Bezug,Person,,
RD,"Reuss-Belce, [...]",,Brief-Bezug,Person,,
RD,"Curie, [...]",,Brief-Bezug,Person,,
RD,"de Mancy, [...]",,Brief-Bezug,Person,,
RD,"de Lostanges, [...]",,Brief-Bezug,Person,,
RD,"Narischkine, [...]",,Brief-Bezug,Person,,
RD,"Eggers, A. F.",,Brief-Bezug,Person,,
RD,"von Pulsky, F.",,Brief-Bezug,Person,,
RD,"Ramaciotti, [...]",,Brief-Bezug,Person,,
RD,"Reuß, Marie",,Brief-Bezug,Person,,
RD,"Caraman-Chimay, [...]",,Brief-Bezug,Person,,
RD,"Bellegarde, [...]",,Brief-Bezug,Person,,
RD,"Chreptowich, [...]",,Brief-Bezug,Person,,
RD,"Augusz, Emmerich",,Brief-Bezug,Person,,
RD,"Kreutzer, [...]",,Brief-Bezug,Person,,
