4122772-4,Akkordeon
4270768-7,Alt
1204269548,Althorn
4392006-8,Bariton
4242467-7,Bariton
7844008-7,Barockvioline
4712215-8,Bass
4391544-9,Bassetthorn
4020105-3,Basso continuo
7542598-1,Becken
4146029-7,Blockflöte
4195341-1,Carillon
4009667-1,Cembalo
4010045-5,Chor
1140461281,Claves
4131197-8,Drehleier
4152282-5,Englischhorn
4153531-5,Fagott
4154647-7,Flöte
4649777-8,Flügelhorn
4310304-2,Frauenchor
4124933-1,Gitarre
4021292-0,Glocke
4021295-6,Glockenspiel
4129456-7,Harfe
4159135-5,Harmonium
4131227-2,Kastagnetten
4328529-6,Klappenhorn
4806196-7,Klapper
4030938-1,Klarinette
4010271-3,Klavichord
4030982-4,Klavier
4032300-6,Kontrabass
4197145-0,Kornett
4166936-8,Laute
4232939-5,Mandoline
4168467-9,Männerchor
4168894-6,Marimba
4209622-4,Maultrommel
4425470-2,Mezzosopran
4123805-9,Mundharmonika
4170754-0,Mundorgel
4139391-0,Oboe
1171835620,Oboe_da_Caccia
4172708-3,Orchester
4043844-2,Orgel
4173567-5,Pauke
1200966155,Physharmonika
7699379-6,Pochette
4046865-3,Posaune
4176713-5,Querflöte
4178934-9,Saitenklavier
4179250-6,Saxofon
4338340-3,Signalhorn
4392005-6,Sopran
4056269-4,Spinett
4504967-1,Tamburin
4184718-0,Tenor
7621216-6,Tenorhorn
4801084-4,Triangel
4117255-3,Trommel
4060993-5,Trompete
4061130-9,Tuba
4188204-0,Vibrafon
4188364-0,Viola
4127766-1,Viola_da_Gamba
4019791-8,Violine
1172213283,Violino_piccolo
4063584-3,Violoncello
4524780-8,Violone
4188384-6,Virginal
7624976-1,Wagnertuba
4190396-1,Xylofon
4190840-5,Zink
4067892-1,Zither
