"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Stadium der Werkgenese,Funktion,"interne Sicherung vormaliger ""Typ""-Einträge",Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung (normiert),Tempoangabe (normiert),Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Kommentar zur Widmung,Datierung (diplomatisch),Datierung (maschinenlesbar),Datierung ermittelt (maschinenlesbar),Datierung Kommentar,Datierung Ort nach GND,Ort ermittelt (normiert),GND-Nr. Ort,Schrift (fremder Hand),Umfang,Papiermaß,Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.) (intern)",,,Provenienz Station 1,Provenienz Station 2,Provenienz Station 3
,,R 105d | S 243 | A60d ,Ungarische Nationalmelodien,D-WRgs,GSA 60/R 2,,,,,,x,,,,[No / Ho 3 | Preludio],,Kl,,,,,,,,,,"schwarze Tinte, roter Stift?",zS (schwarzer Stift),1 Blatt (2 Seiten Notentext [S. 33-34],"Querformat, ??? x ??? mm, 2 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Autographe Fragmente von zwei Kompositionen. Die Recto-Seite zeigt den rhythmisch markanten Beginn in Des-Dur der 6. Ungarischen Rhapsodie, die Verso-Seite ist mit Preludio und von fremder Hand mit ""No / Ho [?] 3."" überschrieben. Es ist aufgrund des abgeschnittenen Notentextes nicht zu ermitteln, worum es sich handelt. Das Papier weist Spuren auf, die von einem roten Stift kommen könnten, sowie viele Rasuren.","Unklar, warum sich das Fragment hier befindet. Der GSA-Hinweis auf R 105 d wohl fehlerhaft, denn zum einen ist das erste Stück der erleichterten Versionen dort in D-Dur, nicht in Des-Dur notiert, zum anderen weist das ""Preludio"" der Nr. 3 keinerlei Ähnlichkeiten auf. ",Was hat es damit auf sich? ,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:202734,DTie, ,,,,,Fragment,
,,"R 547,4 | S 80 | L2",Les quatre Eléments. Les Astres,D-WRgs,GSA 60/S 11,,Liszt-Museum Weimar,,,,x,,,,,,"Mch (TTBB), Kl",,,Französisch,Hommes epars sur ce globe qui roule,,,,,,"schwarze Tinte, Bleistift",,"11 Blatt zu 5 Bogen und 1 Einzelblatt (21 Seiten Notentext, 1 Leerseite)","Hochformat, ??? x ??? mm, 14 Notenzeilen, handrastriert; Hochformat, ??? x ??? mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,"Bogen sind zwei unterschiedlichen Papieren zuzuordnen: 1 (1), 2 (2), 3 (2), 4 (2), 5 (1), 6 (1)",,"Arbeitsmanuskript, das von nahezu fertig ausgearbeiteten bis hin zu äußerst rudimentär skizzierten Passagen reicht. Musikalisch bildet der Beginn das ""heroische"" Thema aus Les Préludes, allerdings ohne die charakteristische Gegenmelodie, ab. Nach dem längeren Klaviervorspiel setzt der Chor zunächst unbegleitet ein [S. 2], Liszt notiert nur den ersten Vers in die Vokalstimmen, ansonsten fehlt der Text. Zur Wiederholung sind die Takte 1 bis 36 durchgezählt. [S. 7] Auflösung der Wiederholung (5-21), auf dieser Seite findet sich nur die Zahlenreihe. Auf [S. 8] ist oben links ""2d Verset"" vermerkt und Liszt notiert ausschließlich die Vokallinie, während die Klavierbegleitung wiederholt wird (22-37 etc); auf [S. 9-11] ist ausschließlich der untextierte Männerchor notiert, teilweise nur auf die Tenorstimme reduziert, so dass das Manuskript hier ein sehr skizzenhaftes Erscheinungsbild aufweist. Die C-Dur Arpeggien des Beginns setzen im untersten System auf [S. 12] wieder ein und formen das Klaviernachspiel, das auf [S. 13] auch mit einem Doppelstrich endet. [S. 14] notiert Liszt mit Bleistift ""Segue 5"", es handelt sich um eine Leerseite und auf dem fünften Bogen folgt der kontrastierende Mittelteil mit einer Linie im ""Violoncello"" in As-Dur. Im Anschluss schreibt Liszt auch wieder den kompletten Text aus, ""Nous vous dirions vers un but ephémère"", allerdings teilweise ungemein flüchtig und schwer leserlich. Ab [S. 17] ist der Text wieder nur sporadisch gesetzt, die Notation der Musik jedoch vollständiger, allerdings mit mehreren Korrekturen. Auf [S. 19] schreibt Liszt mit Bleistift in das Klaviersystem ""Pausen"" sowie im unteren System ""Seite 4 (+) Cres"" und spielt damit auf das Verweiszeichen von [S. 4] an (es ist also nicht Seite 40 gemeint). Auf [S. 20] findet sich lediglich ein langes 16tel Tremolo in der rechten Hand, zu dem Liszt mit Bleistift ""Quint lage"" sowie die Harmonien (""g as g as | gis a"") notiert [über dem ""g"" ist allerdings C-Dur ausgeschrieben). Das Manuskript bricht schließlich mit dem untextierten a capella Chorsatz auf [S. 22] ab. 
Liszt nummerierte die Bogen bzw. das Einzelblatt (4) mit Bleistift.","Sehr merkwürdige Quelle, teilweise hat es den Charakter einer Reinschrift, dann aber wieder fast fragmentarisch. In dem Youtube-Link hat man das Stück jedenfalls rekonstruiert und komplett eingespielt. Auch ist der Text ungewöhnlich schlecht lesbar. ","Bitte Blatt und Bogen zählen, Hilfe auch bei der Text-Transkription",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209256,DTie,https://www.youtube.com/watch?v=8SDIbtjPJVA,,,,,Fragment,
,,R 671 | S 688 | Q17,"Stanislaus (Chor ""Weh uns!"")",D-WRgs,"GSA 60/B 3f,1",,,Particell,,,,,,,Stanislas / (9tes Bild),schwarzer Tinte,"GCh (SATB), Orch",Langsam,,,,,F Liszt Mai 80 - Weimar.,1880-05-xx,,,schwarze Tinte,[Charles Malherbe 116694475] (schwarze Tinte),"1 Blatt (1 Seite Notentext, 1 Blatt Karton)","Hochformat, ??? x ??? mm, 14 Notenzeilen, handrastriert; Hochformat, ??? x ??? mm",,,,,"1966-05, J. A. Stargardt 31644-1 ",,,,,,,"Das Autograph ist auf ein Blatt Karton geklebt, wie man es für Passepartouts verwendet.",,"Das Autograph trägt kleinere Rasuren. Liszt hat unter die letzte rastrierte Notenzeile auf dem unteren Blattrand freihändig eine weitere Notenzeile hinzugefügt.
Oben auf dem Blatt hat der französische Musikwissenschaftler und Komponist [Charles Malherbe 116694475] eine Widmung an den Musikritiker [Michel Dimitri Calvocoressi 129089117] geschrieben: ""à l'ami Calvocoressi j'offre ce petit autographe du grand maître dont il a vu comprendre ex analyses le génie. Ch. Malherbe Juin 1906.""","GSA-Findbuch: Ankauf J.A. Stargardt, Mai 1966",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190559,BV,,,,,,Fragment,
,,R 14/8 | S 173/8,Miserere mei,F-Pn,Ms. 163,,Charles Malherbe Conservatoire Nal de Musique Paris,,,,x,,,,,,"Singst, MCh, Kl/Org (?)",,,Latein,"Miserere mei Deus, secundum magnam misericordiam tuam","""à [M. Gustave Doret 131991701] - faible temoignage de reconnaissance; souvenir de son héroïque amitié: Aigle, 16 Août 1889 - son ami Hugo. - (: Autographe de Franz Liszt, provenant de la collection du [Dr. Gille 117737623], de Iéna; intime | ami de Liszt ...)",,,,,schwarze Tinte,,1 Seite Notentext [verso],"Hochformat, 360 x 255 mm, 12 Notenzeilen, gedruckt (?),
Umschlag: 390 x 285 mm",,,,,,,,,,,,,,"Unvollständiger Entwurf mit schwarzer Tinte (Noten- und liturgischer Text) von 24 (?) Takten. Auch hier fehlen jedwede Angaben zur Besetzung, plausibel scheint jedoch Singstimme (Tenor) mit Klavier- oder Orgelbegleitung, die sehr sauber ausgeführt ist. Gegen eine Orgelbegleitung sprechen eventuell die wenigen ausnotierten Bass-Arpeggien im zweiten und vierten System. Der liturgische Text ist nicht mit der im oberen System festgehaltenen Singstimme ""koordiniert"", zudem notiert Liszt ab dem zweiten System nicht nur eine Solo-Vokalstimme, sondern abwechselnd auch einen vierstimmigen Akkordsatz, was eventuell doch auf einen Männerchor hindeuten würde. Gerade die Vokalstimme(n) ist aber weitgehend nur skizziert, teilweise nur mit Strichen ausgeführt. Außerdem ist die Komposition nicht vollendet, ein Schluss fehlt ebenso wie die Auflösung des Verweiszeichens :+: ganz am unteren rechten Ende der Quelle. Merkwürdig scheint auch Liszts kryptischer Kommentar am oberen Blattrand, ""(b | 3 | 1 ?)"".","Abschluss der Koposition entweder wo anders, oder verschollen.",Widmung: quer zur Seite von fremder Hand (Hugo?) mit Tinte geschrieben,https://gallica.bnf.fr/ark:/12148/btv1b550020475/f2.item,DTie,,,,,,Fragment,
,,"R 106,18 | S 244 | A132",Rhapsodie Nr. 18 (Beginn),H-Bami,Fond 2/125,C.577/1969,,,,,,,,,"Für das ""Ausstellungs Album"" | geschrieben. Rhapsodie | Budapest. | F. Liszt",,Kl,Lento (Lassan),,,,,,,,,"schwarze Tinte, roter Stift",,"1 Blatt (1 Seite Notentext, 1 Leerseite)","Hochformat, 342 x 265 mm, 10 Notenzeilen, handrastriert",,,,,,,,,,,,"Blatt ist sehr dünn, wurden an mehreren Stellen, so an den Rändern verstärkt",,"Saubere Reinschrift der 18. Rhapsodie (bis Takt 29), danach bricht die Notation mit Liszts Verweis mit rotem Stift (sehr blass) (""weiter Seite 2-"" ab. Mit Ausnahme der Akzente in der NLGA ist der Notentext identisch.",,Das Einzelblatt ist mit 1 paginiert - wo ist der Rest?,wird erstellt,DTie,,,,,,Fragment,
,,R 484 | S 9 | I2,Graner Messe (Fragment),H-Bn ,Ms. mus. 5.827,V 595-822/1961,Orszszéchényi Könyvtár,,,,,,,,,,B,,,Latein,Domine Deus Rex coeles -,,,,,,"schwarze TInte, blauer Stift",,"1 Blatt (1 Seite Notentext, 1 Leerseite)","Querformat, 49 x 175 mm, 3 Notenzeilen, handrastriert",,,,,,,,,,,,"Es handelt sich um einen in der Mitte gefalteten ""Schnipsel"", möglicherweise eine gelöste Überklebung aus anderem Zusammenhang",,"Siebentaktiges Fragment (gelöste Überklebung) aus dem Bass-Solo der Graner Messe. Überschrieben mit: ""Solo Stimmen zu den Seiten 27, 28 (angefange[n]"". Dass es sich um einen Zuschnitt handelt ist an der Taktnummerierung mit blauem Stift zu ersehen, die von 1-7 und unten von 10-16 zu erkennen ist.","Man müsste danach fahnden, wo dieser Abschnitt herkommt (laut Eckhardt, S. 34: T. 175 des Gloria)",,wird bestellt (100 Huf pro Scan),DTie,,,,,,Fragment,
,,"R 563,636,215,345 | S 93,340,554,(626) | EM -",Magyar királi dal / Ungarisches Königslied,H-Bn ,Ms. mus. 1.210,,Orszszéchényi Könyvtár,,Albumblatt,,,,LISZT | * | MAGYAR | KIRÁLY-DAL,,Magyar Király-dal. | Egy régi magyar dallam után),,Singst,Marziale,,Ungarisch,"Mint Magyar, hazámnak hü fia",,,,,,schwarze Tinte,,"1 Blatt (1 Seiten Notentext, 1 Leerseite)","Querformat, 136 x 240 mm, 4 Notenzeilen, handrastriert
Umschlag mit braunem Ledersaum und Schneckenmarmorpapier, 143 x 248 mm 

",,,,,,,,,,,,"Extrem stark beschädigtes Einzelblatt, Faltung in der Mitte mit Klebstreifen verstärkt, zudem ist das ganze Papier ""eingeschweisst""
in Umschlag eingebunden",,"Zehn Takte Skizze der Königs-Melodie mit schwarzer Tinte, mit Liszt Ferencz signiert. ",,"Titelei: auf dem ledernen Teil des Umschlags mit goldenen Lettern gedruckt; ganz unten die Lettern/Initialien(?) ""N.M."" ",wird bestellt (100 Huf pro Scan),DTie,,,,,,,
,,R 492a | S 16/1 | K6,De profundis,H-Bn ,Ms. mus. 5.632,Sz 522/73/6/74,Orszszéchényi Könyvtár,,,,,,,,"De profundis (Stanislas) | SchlussNummer | Einleitungs zu dem Psalm ""De profundis"" (gedruckt)",schwarze Tinte,"MCh (TB), Kl",Lento,,Latein,De profundis clamavi,,,,,,"schwarze Tinte, blauer Stift",,"2 Blatt zu 1 Bogen (3 Seiten Notentext, 1 Leerseite, foliiert)","Hochformat, 343-278 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,Der Bogen wurde in der Mitte gefaltet aufbewahrt,,"Arbeitsmanuskript mit der Einleitung zum Schlussstück aus dem Stanislas-Oratorium (ergo eine Wiederverwertung des Psalms 129, De profundis). Relativ sauberer Notentext aber vor allem zu Beginn an viele Rasuren und Korrekturen bzw. Pedalhinzufügungen mit einer außerordentlich intensiven und dichten schwarzen Tinte/Feder. Beim Einsatz des Männerchors im letzten System auf der ersten Seite notiert Liszt, ""Begleitung | tacet"" und zieht einen langen Bogen, bis das tiefe Bass-Tremolo im letzten Takt auf der Seite wieder anhebt. Genauso verhält es sich von der Disposition her auf Blatt 1v. Hier notierte Liszt im letzten Takt ""weiter | Seite 3 | (geschrieben)"", strich dies jedoch wieder mit blauem Stift durch. Ursprünglich verweist er damit auf den Wechsel zwischen Druck und Manuskript in der anvisierten Zielquelle (H-Bn Ms. mus. 6.056). Auf Blatt 2r ist die erste Zeile mit blauem Stift gestrichen und wird durch eine, wiederum reich rasierte, Alternative darunter ersetzt. Das Manuskript bricht unvermittelt ab, ohne dass Liszt Informationen über den Anfügungsort notiert.",Nimmt offensichtlich Bezug auf die Quelle H-Bn Ms. mus. 6.056,,wird bestellt (100 Huf pro Scan),DTie,,,,,,Fragment,Arbeitsmanuskript (quasi Fragment)
,,R 480 | S 5 | I1,Die heilige Cäcilia. Legende,H-Bn ,Ms. mus. 5.599,V 549-72/2/1973,Orszszéchényi Könyvtár,,,,,,,,Sainte Cecile,schwarze Tinte,"Mezzo-S, Orch (2 Fl, 2 Ob, 2 Klar, 2 Fg, 4 Hr, Pk, Hrf, Vl, Vla, Vlc, Kb)",Andante,,Französisch,C'était une Dame romaine une dame de très haut rang qui jadis,,,,,,"schwarze Tinte, Rötel, Bleistift",,"2 Blatt zu 1 Bogen (4 Seiten Notentext, paginiert)","Hochformat, 348 x 269 mm, 32 Notenzeilen, handrastriert",,,,,,,,,,,,Der Bogen wurde zweimal gefaltet aufbewahrt,,"Sehr sauber geschriebenes Manuskript, dass allerdings unvollständig ist und mit dem Ende des Bogens bei Takt 156 abbricht. Liszts setzte mit dem zinnoberroten Stift ein Verweiszeichen direkt nach dem Titel und notiert ganz unter der Partitur: ""Die liturgische Antiphona: ""cantibus organis Caecilia Domino decantabat"" bietet diesem | Gesange einen beständigen, gleichsam goldnen Grund"". Die ""Stimme"" wird nur zu Beginn als ""MezzoSopran"" identifiziert und im weiteren Verlauf schlicht ""Stimme"" genannt. Neben wenige kleinen Korrekturen durch Rasuren fällt auf, dass Liszt die einzelnen Orchesterparts graphisch mit dem zinnoberroten Stift voneinander abhebt und den gesamten Streicherkorpus mit einer geschweiften Klammer zusammenbindet. Letztere werden im weiteren Verlauf mit unterschiedlichen Ziffern annotiert, deren Bedeutung sich nicht erschließt, da sie weder eine Taktzahl, eine Aufteilung der Streicher oder sonstige augenscheinliche Funktion zu haben scheinen. Im zweiten System ergänzt er Teile des Textes mit Bleistift und streicht die Takte 7-9 mit diesem und dem zinnoberroten Stift, dazu notiert er darüber: ""Vide 12 Takte"", die jedoch auf dieser Quelle nicht auszumachen sind. Die Reinschrift bricht auf Blatt 2v unvermittelt ab, Liszt fügt eine lange Klammer mit dem zinnoberroten Stift durch die gesamte Partitur durch und notiert am unteren Ende die Zahl ""13"", zugleich mit dem Einsatz der Harfenarpeggien. Auch der Gesang bricht bei den Worten ""Tous les Arts"" ab. Die Paginierung stammt nur auf der ersten Seite von Liszt (zinnoberroter Stift) und wurde von fremder Hand mit Bleistift fortgesetzt. ",Wo ist der Rest der Reinschrift? und das etwaige Korrekturblatt),,wird bestellt (100 Huf pro Scan),DTie,,,,,,Fragment,(unvollständige) Reinschrift
,,R 538 | S 68 | L12,Zur Säkularfeier Beethovens (2. Beethoven-Kantate),H-Bn ,Ms. mus. 261,1911 év 22 sz.,M. N. Múzeum Könyvtára Kézirait Növedéknapló,,,,,,,,Clavierauszug -,,Kl,[Sehr langsam],,,,,26 Janvier | 70 - | Villa d'Este | FLiszt.,1870-01-26,Villa d'Este,4431211-8,"schwarze Tinte, blauer und roter Stift, Bleistift",,"6 Blatt zu 3 Bogen (Einband, Vorsatz, 7 Seiten Notentext, 5 Leerseiten)","Hochformat, 424 x 290 mm, 30 Notenzeilen, handrastriert
rotbrauner EInband mit geädertem Kleisterpapier, 427 x 295 mm
",,,,,,,,,,,,"Die drei Bögen sind an ihrer Außenkante verstärkt und mit einem rotbraunen Einband zusammengebunden. Das Papier selbst weist eine sehr gewaltsame Beschädigung auf, die ein Loch sowie schräg dazu verlaufende Schnitte auf fast allen Blättern nach sich zog, die jedoch resteuriert wurden. Die Quelle wurde zudem in der Mitte gefaltet aufbewahrt.
rotbrauner Einband mit geädertem Kleisterpapier",,"Saubere Reinschrift mit nur wenigen Korrekturen und Rasuren. Sporadisch setzt Liszt Instrumentenangaben zum Klavierauszug hinzu. Auf S. 4 (= Blatt 4r) beginnt der zweite Abschnitt ""Sehr langsam"" in E-Dur; auch hier schrieb Liszt, diesmal mit Bleistift, ""Clavierauszug"" darüber. Mit dem blauen Stift ergänzt Liszt in T. 3 auf S. 1 einen Tremolo-Balken, ansonsten werden fast alle Korrekturen mit Rasuren und schwarzer Tinte durchgeführt. Nur auf der letzten Seite 7 (Blatt 5v) erfolgt eine größere Streichung von 26 Takten mit rotem Stift sowie die Korrektur/Alternative am unteren Ende der Seite (nur noch 14 Takte, 5 davon Generalpause). Besonders ist auch Liszts Paginierung, er zählt alle beschriebenen Notenseiten mit zinnoberrotem Stift (1-7) durch und die Musik des zweiten Abschnitts separat mit Bleistift mit Buchstaben (A-D). ",,"Ich frage mich, wo der große Schaden am Papier herrührt?",wird bestellt (100 Huf pro Scan),DTie,,,,,,Fragment,Reinschrift (unvollständig)
