"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr. (R | S | E/M),"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Autor Titelei (Liszt egh.),Kopftitel,Autor Kopftitel (Liszt egh.),Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (fremder Hand),Umfang,Papiermaß,Wasserzeichen (intern),Verlag (normiert),Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Datierung ermittelt (maschinenlesbar),Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.) (intern)",Quellenautorität (für die Abbildung der Reiterstruktur in der Datenbank),Schreiber Umschlag/Titelblatt Bezug zu O,Schreiber Kopftitel Bezug zu Q,Schreiber zu AB gehörig bitte mit Information in AC kombinieren 
,1001305837,"R 582a,1-3 | S 292a | N32/1","Lieder aus Schillers ""Wilhelm Tell""",D-WRgs,GSA 60/D 2,,,Partitur,,x,,,,,Tell Lieder,Bleistift,"Singst, Kl",,,,,,,,,,"schwarze Tinte, Bleistift, Rötel",,"15 Blatt zu 6 Bogen und 3 Einzelblatt (26 Seiten Notentext, 4 Leerseiten, paginiert)","Hochformat, 321 x 238 mm, 12 Notenzeilen, gedruckt (Cöln, bei Eck & Comp.), Blatt 1-6; Querformat, 235 x 321 mm, 9 Notenzeilen, gedruckt (Cöln, bei Eck & Comp.), Blatt 7 und 9; Hochformat, 320 x 236 mm, 12 Notenzeilen, handrastriert, Blatt 8; Querformat, 243 x 320 mm, 9 Notenzeilen, gedruckt (Cöln, bei Eck & Comp.), Blatt 10-11; Querformat, 242 x 305-318 mm, 10 Notenzeilen, handrastriert, Blatt 12-15",,,,,,,,,,,,,,"Autograph zeigt deutliche Spuren des Kompositionsprozesses; verschiedene Varianten, die erprobt und dann gestrichen werden, auch unterschiedliche Herangehensweisen an die Komposition der Gesangsstimme sind auszumachen. Das 2. und 3. Lied sind in den letzten Bogen des 1. Liedes nach S. 10 eingelegt. Liszt paginiert durchgehend mit Bleistift.","1. ""Es lächelt der See"" (S. 1-10); 2. ""Ihr Matten lebt wohl"" (S. 11-19); 3. ""Es donnern die Höhn'"" (S. 20-26)",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191276,UR,,,,Franz Liszt,Franz Liszt,
,1001305851,"R 582a,1",1. Der Fischerknabe,D-WRgs,GSA 60/D 2,"Ms, D 2|1",,Partitur,,,x,1001305837,,,,,"Singst, Kl",,,Deutsch,Es lächelt der See,,,,,,"schwarze Tinte, Bleistift, Rötel",,S. 1-10 (von 15 Blatt),"Hochformat, 321 x 238 mm, 12 Notenzeilen, gedruckt (Cöln, bei Eck & Comp.)",,,,,,,,,,,,,,"Der Notentext ist anfangs ist auf den ersten Seiten recht flüssig, fast hastig geschrieben. Änderungen (S. 1 unten, S. 2 oben) werden mit schwarzer Tinte gestrichen und direkt anschließend weitergeschrieben. Zusätzlich verwendet Liszt zahlreiche Platzhalter für Wiederholunge in der Begleitung (Buchstaben, arabische oder römische Ziffern). Es werden gelegentlich 2-4 Notenzeilen freigelassen für mögliche Korrekturen oder Ergänzungen (vor allem S. 8 und 9). Auf S. 5/6, 9, 10 finden sich größere Streichungen und Überarbeitungen mit Rötel.",,"Umfang: 6 Blatt zu 3 Bogen (10 Seiten Notentext, 2 Leerseiten, paginiert)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191276,UR,,,,,Franz Liszt,
,1001351344,"R 582a,2",2. Der Hirt,D-WRgs,GSA 60/D 2,"Ms, D 2|2",,Partitur,,,x,1001305837,,,,,"Singst, Kl",,,Deutsch,Ihr Matten lebt wohl,,,,,,"schwarze Tinte, Bleistift, Rötel",,S. 11-19 (von 15 Blatt),"Querformat, 235 x 321 mm, 9 Notenzeilen, gedruckt (Cöln, bei Eck & Comp.), Blatt 7 und 9; Hochformat, 320 x 236 mm, 12 Notenzeilen, handrastriert, Blatt 8; Querformat, 243 x 320 mm, 9 Notenzeilen, gedruckt (Cöln, bei Eck & Comp.), Blatt 10-11",,,,,,,,,,,,S. 13: helles Papier (Rückseite nicht beschrieben),,"In dem recht flüssig geschriebenen Notentext streicht Liszt Änderungen direkt mit schwarzer Tinte und schreibt anschließend direkt weiter. Auf S. 13 (Hochformat, helles Papier) setzt Liszt den Notentext von S. 12 direkt fort und notiert die Streichungen auf S. 14 neu. Das 1. System von S. 14 ist mit schwarzer Tinte komplett gestrichen und mit einem Fragezeichen am Anfang versehen. Die Variante im 2. System ist als Ossia bezeichnet, ebenfalls mit einem Fragenzeichen versehen und mit Rötel, teils mit Tinte und Bleistift komplett gestrichen. Auf S. 15 und 18 lässt Liszt jeweils 3 Notenzeilen frei für spätere Änderungen.",,"Umfang: 5 Blatt zu 1 Bogen und 3 Einzelblatt (9 Seiten Notentext, 1 Leerseite, paginiert)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191276,UR,,,,,Franz Liszt,
,1001305863,"R 582a,3",3. Der Alpenjäger,D-WRgs,GSA 60/D 2,"Ms, D 2|3",,Partitur,,,x,1001305837,,,,,"Singst, Kl",,,Deutsch,Es donnern die Höhen ,,Basel | (Klibeck) 12. July 45,1845-07-12,Basel-Klybeck,4125925-7,"schwarze Tinte, Bleistift, Rötel",,S. 20-26 (von 15 Blatt),"Querformat, 242 x 305-318 mm, 10 Notenzeilen, handrastriert",,,,,,,,,,,,grobes Papier,,"Durchgehend geschriebenes Autograph mit wenigen direkten Streichungen in schwarzer Tinte und mit einigen Platzhaltern für Wiederholungen in der Begleitung. Gleich zu Beginn streicht Liszt den Achtel-Auftakt mit schwarzer Tinte. Dazu finden sich kleiner (S. 20, 21) und umfangreichere Streichungen (S. 23) mit Rötel, die Liszt mithilfe von Verweiszeichen im Notentext korrigiert.",,"Datierung: Die mit Bleistift geschriebene Datierung befindet sich auf S. 26 am Schluss des Liedes. Sie kann sich nur auf das 3. Lied beziehen oder die Zusammenführung aller drei Lieder.
Umfang: 4 Blatt zu 2 Bogen (7 Seiten Notentext, 1 Leerseite, paginiert)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191276,UR,,,,,Franz Liszt,
,,R 504 | S 23 | J8,Domine salvum fac regem,D-WRgs,GSA 60/B 26a,,,Partitur,,,,,Domine salvum fac regem nostrum | Et exaudi nos in die qua invocaverimus te! ,Bleistift,,,"T, MCh (TB), Org/Orch",,,,,,Carlsbad 2 Aout 1853. | FLiszt,1853-08-02,Karlsbad,4029705-6,"sepia Tinte, Bleistift",,"2 Blatt zu 1 Bogen (4 Seiten Notentext, paginiert)","Hochformat, ??? x ??? mm, 20 Notenzeilen, handrastriert",,,,,,,,,,,,Seitenränder vergilbt und stark abgenutzt ,,Liszt versieht sein Autograph mit nur wenigen Ergänzungen und Korrekturen. Lediglich den Schluss des Stücks streicht er und komponiert ihn noch einmal neu. ,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190880,BV,,,Franz Liszt,,Franz Liszt,
,,R 488 | S 12 | J22,Requiem,D-WRgs,GSA 60/B 27,,,Partitur,,x,,,,,Requiem $ Dies irae $ Offertorium $ Sanctus $ Agnus Dei,schwarze Tinte,"MCh (TTBB), Hr in F, 2 Trp in Es, 2 Trp in D, 2 Pos, Pk ad lib., Org ",Andante sostenuto $ Molto mosso $ Andante con moto $ Lento – Maestoso assai $ Lento,,Lateinisch,"Requiem aeternam dona eis, Domine $ Dies irae, dies illa $ Domine Jesu Christe, Rex gloriae $ Sanctus, Sanctus, Sanctus $ Agnus Dei, qui tollis peccata mundi",,Fevrier 68 $ Mai 68 $ Mai 68 $ Mai 68 $ 30 Mai 68,1868-02-xx-1868-05-30,,,"sepia und schwarze Tinte, Rötel, blauer Stift",,"16 Blatt (27 Seiten Notentext, 4 Seiten Text, 1 Leerseite, paginiert)","Hochformat, ??? x ??? mm, 30 Notenzeilen, handrastriert; Querformat, ??? x ??? mm, Blatt 3",,,,,"1868-08-28, Etienne Repos (La Mara 1893b, 124)","1934-xx-xx, Liepmannssohn 1934_02, Los 242",,,,,,"Blatt 3 ursprünglich selbes Format, Abschneiden der unteren 12 Notenzeilen
5 Überklebungen: 
a) auf S. 1 sind die Notenzeilen 16-21 ersetzt durch sechs neue Notenzeilen auf hellerem Papier 
b) auf S. 2 sind die Notenzeilen 18-23 ersetzt durch 6 neue Notenzeilen auf hellerem Papier
c) auf S. 11 sind die Notenzeilen 13-30 durch 19 neue Notenzeilen auf hellerem Papier ersetzt
d) auf S. 18 sind die Notenzeilen 1-6 durch sechs neue Notenzeilen auf hellerem Papier ersetzt
e) S. 19 ist vollständig überklebt und dabei die 30 Notenzeilen durch 29 neue auf gleichem oder ähnlichem Papier ersetzt",,"Liszts Autograph weist auf allen Seiten deutliche oder starke Bearbeitungsspuren auf. Sie reichen von Ergänzungen und Korrekturen mit rotem und blauem Stift, umfangreichen Streichungen mit schwarzer Tinte (S. 2), Rötel (S. 1, 2, 3, 9, 13, 20) und blauem Stift (S. 3, 6, 7, 11, 12, 17, 19, 23), über Rasuren auf allen Notenseiten, größere Überklebungen (S. 1, 2, 11, 18, 19).
Im beiliegenden Druck des Requiemtextes (2 Blatt) findet sich eine Vervollständigung des lateinischen Textes (Offertorium: Versus) von Liszts Hand in schwarzer Tinte, verschiedene Markierungen betonter Silben im lat. Text (Introitus, Dies irae), eine Additionsrechnung in schwarzer Tinte sowie in blauem Buntstift eine kleine Notenskizze (S. 3 des Drucks).
Auf S. 4 befindet sich nach Schluss des Kyrie eine Widmung an Charles Mikuli, datiert auf ""Rome 69.""
Nach dem Schluss des Offertoriums (S. 18) notiert Liszt das Gebet: ""Actiones nostras, quaesumus, Domine, aspirando praeveni et adiuvando prosequere, ut cuncta nostra oratio et operatio a te semper incipiat, et per te coepta finiatur.""
Auf S. 23 befindet sich unten die Neukomposition von Trp-, Pos- und Pk-Stimmen zu einer Streichung im Sanctus auf S. 19 unten.
Das ""Agnus Dei"" weist verglichen mit den anderen Messsätzen nur wenige Korrekturen auf, hauptsächlich Rasuren, daneben mit blauem Stift wenige Ergänzungen von Dynamik, Ausdruck, Phrasierungsbögen und zwei Auflösungszeichen.","Das Autograph entspricht von wenigen Änderungen in der Bläserbesetzung abgesehen der Fassung, in der es bei im April 1869 bei Repos in Paris gedruckt wurde und ein Jahr später bei Kahnt in Leipzig. In der zweiten Auflage bei Kahnt 1872 kam das ""Libera me"" (R 511) als sechster Satz hinzu.

Druck bei HAAB: urn:nbn:de:gbv:32-1-10027370527
Digitalisat Notentext: https://haab-digital.klassik-stiftung.de/viewer/image/1770045651/12/",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190900,BV,,,,,Franz Liszt,
,1001305867,R 609a | S 297/1 | N34/1,Wer nie sein Brot mit Tränen aß,D-WRgs,GSA 60/D 3,"Ms D, 3",,Partitur,,,,,,,Wer nie sein Brod,Bleistift,"Singst, Kl",,,Deutsch,Wer nie sein Brod mit Thränen ass,,Wirtzburg | 5 October,xxxx-10-05,Würzburg,4067037-5,"schwarze Tinte, Bleistift, Rötel",,"4 Blatt zu 2 Bogen (7 Seiten Notentext, 1 Leerseite, paginiert)","Querformat, 239 x 316 mm, 9 Notenzeilen, gedruckt (Cöln, bei Eck & Comp.)",,,,,,,,,,,,,,"Das Autograph enthält einige Streichungen, die Liszt neu komponiert, weiterhin Korrekturen der Singstimme und im Text.",,Datierung: [S. 8],https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191277,UR,,,,Franz Liszt,Franz Liszt,
,1001251816,R 520 | S 22 | J52,Pater noster (IV),D-WRgs,GSA 60/C 23,,,Partitur,,,,,,,,,"GCh (SSTB), Org",Andante pietoso,,Lateinisch,"Pater noster, qui es in coelis",,,,,,"schwarze Tinte, blauer Stift",,"1 Blatt (2 Seiten Notentext, foliiert)","Querformat, 178 x 269 mm, 16 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Nur wenige Korrekturen auf der verso-Seite, Noten durch Rasur getilgt und durch neue Noten in schwarzer Tinte ersetzt, Notenlinie an den Rasurstellen mit blauem Stift ersetzt.
Verso befindet sich außerdem ein Eintrag von [Carl Gille 117737623] in schwarzer Tinte: ""Serenissimo Altenburg. Original Manuskript Franz Liszt's von welchem der Unterzeichnete dasselbe zum Geschenk erhalten hat bescheinigt Jena Nov. 1850 Geheimer Hofrat Dr. [Gille 117737623]"".",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191215,BV,,,,,Franz Liszt,
,1001234382,R 568 | S 279 | N10 ,Der du von dem Himmel bist,D-WRgs,GSA 60/D 6,"Ms, D 6",,Partitur,,,,,,,Der Du von dem Himmel bist,,"Singst, Kl",Sehr langsam,,Deutsch,Der Du von dem Himmel bist ,,,,,,schwarze Tinte,,"1 Blatt, 1 Seite Notentext, 1 Leerseite","Querformat, 266 x 340 mm, 10 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Erster Entwurf des Liedes, sechstaktiges Klaviervorspiel im Vierertakt, ab Einsatz der Singstimme Wechsel zum 3/4-Takt; Gesang bis auf den Schluss in Takt 14 identisch mit der späteren Ausgabe, Klaviersatz gleicht nur in Harmonien und wurde von Liszt stark überarbeitet. Text und Dynamik wurden nachträglich eingetragen.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191280,UR,,,,Franz Liszt,Franz Liszt,
,1001307358,R 579 | S 280 | N23,Freudvoll und leidvoll,D-WRgs,GSA 60/D 9,Ms D 9,Liszt-Museum Weimar,Partitur,,,,,,,,,"Singst, Kl",Andante,,Deutsch,Freudvoll und leidvoll gedankenvoll sein,,,,,,schwarze Tinte,,1 Blatt (2 Seiten Notentext),"Querformat, 268 x 340 mm, 9 Notenzeilen, handrastriert, untere rechte Ecke abgerissen",,,,,,,,,,,,,,"Taktart: C, Tonart: As-Dur | Für die letzten 3 Takte der Singstimme ist ossia notiert. | laut Raabe: 2. Fassung von R 579a.","vgl. Fassung R 579a, Raabe: ""unveröffentlichte Zwischenstufe zwischen a u. c"" (?)",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191289,UR,,,,,Franz Liszt,
