"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. (falls vorhanden),Titelei Umschlag oder Titelblatt,Digitalisat Titelei,Widmung (diplomatisch),Verlag,Verlags GND-Nr.,Ort (normiert),GND-Nr. Ort,Plattennummer,Stecherei,Stecherei GND-Nr.,Preis,Abbildung (figurativ),Druckumfang,Drucktyp,Kopftitel,Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode ,Text-Incipit (diplomatisch),Titel Umschlag und/oder Titelblatt (handschriftliche Zusätze),Kopftitel (handschriftliche Zusätze),Geschenkvermerk (handschriftlich) (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (handschriftlich) (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (zS/fremde Hand),Umfang,Papiermaß,Wasserzeichen (intern),Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Personen,Datierung ermittelt (maschinenlesbar),Datierung Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale / Zustand der Quelle (intern), Inhalt (interner Vermerk),"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.)",Datierung Erstauflage,Kommentar Datierung Erstauflage
,,R 48 (R 433),"
Fest-Marsch zur Goethe Jubiläumsfier",D-WRgs,GSA 60/U 12,,Liszt-Museum Weimar,Partitur,Korrekturabzug,,x,,FEST-MARSCH | zur Göthe Jubiläum-Feier | für | grosses Orchester | componirt von | FRANZ LISZT,,,J. Schuberth & Co. ,5330993-5,Hamburg | Leipzig | New York,4023118-5 | 4035206-7 | 4042011-5,2499,,,2/3 rf.,,"Titelseite, S. 4-15",Plattendruck,GÖTHE- | FEST-MARSCH.,Kl,Allegro mosso,,,,,,,,,,,"schwarze, und sepia Tinte, blauer Stift",Dr (blauer Stift),"8 Blatt (1 Titelseite, 12 Seiten Notentext, 3 Leerseiten, paginiert)","Hochformat, ??? x ??? mm, 8-10 Notenzeilen",,,,,,,,,,,,"Über dem Titel ist mit blauem Stift notiert: ""Noch einmal Correctur in den Platten vornehmen; sodann | druckfertig [unterstrichen]!"" | Von Liszt selbst ist mit Tinte ein NB eingetragen: ""NB. die abgekürzte Auflage | ist nicht weiterfort zu verbreiten"".
Wenige Korrekturen von Liszt im Druck, S. 9 Bassoktaven in der linken Hand, mit Sepiatinte, markiert mit blauem Stift. Darunter Korrektur des Druckers mit blauem Stift (Oktave gis nach as). S. 19 unten: Streichung der vier letzten Takte durch Liszt mit blauem Stift inklusive ""Vide""-Hinweis. S. 11 Überklebung mit zwei handschriftlichen Systemen, in schwarzer Tinte notiert, darunter mit sepia ""Tempo | primo"". Das gesamte Blatt ist durch einen nicht getrockneten Abzug stark mit Druckerschwärze verwischt. Zudem Eintragungen des Druckers mit blauem Stift. ","Korrigierter Druckabzug, passt zur autographen Stichvorlage, die ebenfalls in GSA 60/U 12 enthalten ist,",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209344,DTie,,,,,1
,,-,[2 Mélodies de Henri Maréchal],F-Pn,Ms. 169,,Charles Malherbe Conservatoire Nal de Musique Paris,,korrigierter Druck,x,,,,,,Colombier,,Paris,4044660-8,,,,,,,Plattendruck,,,,,,,"Titel auf dem Umschlag mit Bleistift geschrieben (Archivar), Signatur groß mit blauem Stift:
Liszt | Henri Maréchal | Bonjour Aubade | Les Cloches du Soir Melodies | avec annotations de Liszt | ms. 169",,,,,,,,,"6 Blatt (Einband, Vorsatz, Schmutztitel, 2 Titelseite, 6 Seiten Notentext, 3 Leerseiten, paginiert)","Hochformat, 348 x 266 mm, 12-15 Notenzeilen; Hochformat, 350 x 269 mm, 12-14 Notenzeilen",,,,,,,,,,"Alter Schutzumschlag (dicker brauner Karton, 329 x 259 mm) liegt Quelle mit bei; Einband: 376 x 325 mm; Seitenränder stark abgestoßen",,Korrekturen bzw. Annotationen von Liszt zu zwei Liedern von [Henri Maréchal 116772492].,Liszt korrigierte hier eine fremde Komposition.,,https://gallica.bnf.fr/ark:/12148/btv1b10861847w,DTie,,,,,2
,,-,[Borodin Paraphrases],H-Bn,Ms. pr. 15.489,8864,Oremzeti Zenede Budapesten,Partitur,,,,,,,,,,,,1936,,,,,,,,Kl 3hdg,,,,,"Auf dem Titelblatt findet sich Liszts Unterschrift, teils kyrillisch (s. Eckhardt, S. 226).",,,Budapest | 27 Janvier | 80,1880-01-27,Budapest,4008684-7,schwarze Tinte,,"19 Blatt (Einband, 1 Titelseite, 35 Seiten Notentext, 1 Seite Text)","Hochformat, 326 x 263 mm, verschiedene Notenzeilen",,,,,,,,,,"gebunden in dunkelblauem Einband, 333 x 268 mm",,"Liszt schrieb auf das Titelblatt mit schwarzer Tinte: ""executées par | 4 Whisteurs | dont FLiszt | Budapest | 27 Janvier | 80.
Keine Eintragungen in dem gedruckten Notentext.","Wer sind die anderen drei ""Whisteurs""?","Wohl nur Titelblatt mit Liszts Signatur interessant für Reproduktion (wenn überhaupt). 

Besetzung überprüfen bitte (3hdg?)",wird bestellt,DTie,,,,,3
,,[R 444],[gehört zu: Benedictus aus der Ungarischen Krönungsmesse],D-WRgs,GSA 60/P 18a,,,,,,x,,Robert und Clara Schumann'scher Compositionen. [...],,,J. Schuberth & Co.,5330993-5,Leipzig,4035206-7,,,,,,,,,,,,,,,,,,,,,,,,"Hochformat, ??? x ??? mm",,,,,,,,,,,,"kein eigentlicher Quelleneintrag, die beiden Rückseiten liegen der Quelle unter der Signatur bei.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:202682,DTie,,1859,,,4
,,R 455,1. Klavierkonzert,D-WRha,ADMV 677a,ADMV 706a,RPflughaupt. Bibliothek des allgemeinen deutschen Musikvereins,Partitur,korrigierter Druck,,,,"1tes | CONCERT | für | Pianoforte | und Orchester, | HENRY LITOLFF | zugeeignet | von | F. LISZT.",,,Carl Haslinger ,2092125-1,Wien ,4066009-6,C. H. 11933,,,,,,Plattendruck,,"Kl, Orch (Picc, 2 Fl, 2 Ob, 2 Klar in B, 2 Hr in Es, 2 Trp in Es, 2 Tpos, Bpos, Trg, Bck, Pk, Vl, Vla, Vlc, Kb)",Allegro maestoso. Tempo giusto,,,,,,,,,,,"schwarze Tinten, roter und blauer Stift","[Robert Pflughaupt 104018593] (schwarze Tinte, Bleistift)","42 Blatt (Einband, Schmutztitel, 1 Titelseite, 80 Seiten Notentext, 3 Leerseiten, paginiert)","Hochformat, 318 x 245 mm, 17 Notenzeilen",,,,,,,,,,brauner Festeinband mit Marmorbuntpapier,,"Auf der Leerseite vor dem Notentext hat Pflughaupt mit schwarzer Tinte Aufführungsdaten mit Ort und Dirigent vermerkt. Auf S. 3 über dem Notentext vermerkt Pflughaupt mit Bleistift die Seitenangaben zu ""Liszts Revision"". Liszts Eintragungen mit rotem und blauem Stift und schwarzer Tinte betreffen Korrekturen im Notentext, Markierungen für die Aufführung, Dynamik, Phrasierung, Pedalisierung. Auf S. 25 schreibt er unten die Anweisung ""Die tremolos in den Violinen und Violen | sehr dicht, mit soviel Noten als möglich | vibriren lassen"". Auf S. 48 vermerkt er ""den Rhythmus des ersten Motifs in der Pauke | fein und schaft markirt."" Auf S. 45 und S. 54-57 ist von anderer Hand (Pflughaupt?) Notentext mit Bleistift im Klavier nachgetragen.","Enthält auch gedrucktes Stimmenmaterial für die Streicher (4 Vl1, 4 Vl2, 4 Vla, 3 Vlc, 3 Kb)","zusätzliche Eintragungen mit rosa Stift (u.a. S. 9) stammen nicht von Liszt, wurde zwischenzeitlich im Bestand der Hochschulbibliothek genutzt
Signatur vormalig, weiterer Eintrag: 94:16876",wird bestellt,UR,,,,7,5
,,S 156 | A40,Album d'un voyageur,D-WRgs,GSA 60/I 10,"Ms I, 10|4",Liszt-Museum Weimar,Partitur,unkorrigierter Druck,,x,,,,,,,,,B. L. 2832,,,,,S. 1-10,Plattendruck,ALBUM D'UN VOYAGEUR | 3me Année | F. LISZT | Mélodies hongroises,Kl,Lento $ Andantino $ Lento,,,,,,,,,,,,,S. 151-162 (von 270 Blatt),"Hochformat, 334 x 258 mm, 10 Notenzeilen",,,,,,,,,,,,"Nr. 1, 2, 3 und 6 (unvollständig)",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192136,DTie / UR,,1841,,,7
,,R 72 | S 50 | A286a,Alte deutsche geistliche Weisen,D-WRgs,GSA 60/Z 3,,,,,x,,,CHORÄLE.,,,,,,,,,,,,"Titelseite, S. 2-19",Lithographie,,,,,,,,,,,,,,,,"10 Blatt zu 5 Bogen (1 Titelseite, 18 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, ??? x ??? mm",,,,,,,,,,,,Die Lithographien enthalten keine Bearbeitungsspuren weder von Liszts noch von einer anderen Hand.,"Wer den Druck angefertigt hat, ist nicht klar.",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209825,BV,,,,,8
,,R 450(2) | S 70(2) | L9(2),An die Künstler,US-Wgu,"GTM-941229, Box 13",,,,,,,,An die Künstler | Gedicht von Schiller | componirt | für Männergesang (Soli und Chor) | und Orchester | von | F. Liszt,,,A. M. Schlesinger,1073054446,Berlin,,,Lith. Anstalt Friedr. Walther sen. Weimar,,,,,Lithographie,,,"Langsam, feierlich",,,,,,Herrn [J. Herbeck 118549448] | freundlichst F. Liszt | Wien Sept. 56. ,,,,,,,"19 Blatt (Einband, Vorsatz, 1 Titelseite, 32 Seiten Notentext, 2 Seiten Text, 2 Leerseiten)","Hochformat, 361 x 295 mm",,,,,,,,,,schwarzer Pappeinband (nicht zeitgenössisch),,Der Geschenkvermerk ist von Liszt mit schwarzer Tinte geschrieben.,,Datierung und Ort auf gedrucktem Titelblatt: Partitur und Klavierauszug. | Weimar 1854. ,fehlt,,,,,,9
,,R 630,An Edlitam,D-WRgs,GSA 60/Dep. H 13,,,Partitur,korrigierter Druck,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,2204,,,,,S. 19-21,Plattendruck,An Edlitam. Zur silbern Hochzeit.,"Singst, Kl",Mäßig bewegt,,Deutsch,In meinem Lebensringe bist du der Edelstein,,,,,,,,,,S. 19-21 (von 32 Blatt),,,,,,,,,,,,," Am Ende des Liedes ergänzt der den Namen des Textdichters, [F. Bodenstedt 118512293] für Friedrich Bodenstedt (sepia Tinte).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210999,BV,,,,,10
,,R 630,An Edlitam,D-WRgs,GSA 60/D 99,,,Partitur,Korrekturabzug,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,3197,,,,,S. 19-21,Plattendruck,,"Singst, Kl",Avec entrain | Mässig bewegt,,Französisch | Deutsch,"A toi, la perle choisie | In meinem Lebensringe",,Kopftitel von fremder Hand mit roter Tinte geschrieben: An Edlitam | Zur silbernen Hochzeit. | Pour des Noces d'argent.,,,,,,,zS (rote Tinte),S. 19-21 (von 36 Blatt),,,,,,,,,,,,,Auf S. 19 sind Liedtitel und Komponistenangabe mit dunkelroter Tine ergänzt. Auf S. 20 ist im 2. System für den französischen Liedtext eine Note eingefügt. ,Vgl. GSA 60/D 102,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191645,UR,,,,,11
