,Absender Person,Absender Person Edition,GND Absender Person,Absender Körperschaft,Absender Körperschaft Edition,GND Absender Körperschaft,Adressat Person,Adressat Person Edition,GND Adressat Person,Adressat Körperschaft,Adressat Körperschaft Edition,GND Adressat Körperschaft,Absendeort,Absendeort Edition,Absendeort_GND,Empfangsort,Empfangsort Edition,Empfangsort_GND,Datierung,Datierung ermittelt,Datierung Kommentar [intern],Incipit [nur in schwierig datierbaren Fällen],Standort,Signatur,Digitalisat,Datierung (standardisiert),Datierung maschinenlesbar Teil 1,Datierung maschinenlesbar Teil 2,Datierung Checkbox,Sigle / Kurztitel,Weitere Editionen,zu überarbeiten,Kommentar (intern),Bemerkungen,Besitzer (nach Edition),Datierung (nach Edition),Werkerwähnung (I),Entstehung (I),Quellentransfer (I),Aufführungen (I),Seite (I),WVZ (Raabe) (I),Werktitel (I),Kommentar (intern) (I),Erwähnung auf Werk- oder Quellenebene (I),Werkerwähnung (II),Entstehung (II),Quellentransfer (II),Aufführungen (II),Seite (II),WVZ (Raabe) (II),Werktitel (II),Kommentar (intern) (II),Erwähnung auf Werk- oder Quellenebene (II),Werkerwähnung (III),Entstehung (III),Quellentransfer (III),Aufführungen (III),Seite (III),WVZ (Raabe) (III),Werktitel (III),Kommentar (intern) (III),Erwähnung auf Werk- oder Quellenebene (III),Werkerwähnung (IV),Entstehung (IV),Quellentransfer (IV),Aufführungen (IV),Seite (IV),WVZ (Raabe) (IV),Werktitel (IV),Kommentar (intern) (IV),Erwähnung auf Werk- oder Quellenebene (IV),Werkerwähnung (V),Entstehung (V),Quellentransfer (V),Aufführungen (V),Seite (V),WVZ (Raabe) (V),Werktitel (V),Kommentar (intern) (V),Erwähnung auf Werk- oder Quellenebene (V),Werkerwähnung (VI),Entstehung (VI),Quellentransfer (VI),Aufführungen (VI),Seite (VI),WVZ (Raabe) (VI),Werktitel (VI),Kommentar (intern) (VI),Erwähnung auf Werk- oder Quellenebene (VI),Werkerwähnung (VII),Entstehung (VII),Quellentransfer (VII),Aufführungen (VII),Seite (VII),WVZ (Raabe) (VII),Werktitel (VII),Kommentar (intern) (VII),Erwähnung auf Werk- oder Quellenebene (VII),Werkerwähnung (VIII),Entstehung (VIII),Quellentransfer (VIII),Aufführungen (VIII),Seite (VIII),WVZ (Raabe) (VIII),Werktitel (VIII),Kommentar (intern) (VIII),Erwähnung auf Werk- oder Quellenebene (VIII),Werkerwähnung (IX),Entstehung (IX),Quellentransfer (IX),Aufführungen (IX),Seite (IX),WVZ (Raabe) (IX),Werktitel (IX),Kommentar (intern) (IX),Erwähnung auf Werk- oder Quellenebene (IX),Werkerwähnung (X),Entstehung (X),Quellentransfer (X),Aufführungen (X),Seite (X),WVZ (Raabe) (X),Werktitel (X),Kommentar (intern) (X),Erwähnung auf Werk- oder Quellenebene (X),Werkerwähnung (XI),Entstehung (XI),Quellentransfer (XI),Aufführungen (XI),Seite (XI),WVZ (Raabe) (XI),Werktitel (XI),Kommentar (intern) (XI),Erwähnung auf Werk- oder Quellenebene (XI)
1,"Liszt, Franz","Liszt, Franz",118573527,,,,,,,,,,Augsburg,Augsburg,4003614-5,,,,09.11.1823,,,,,,,09.11.1823,09.11.1823,09.11.1823,nach Edition,"La Mara 1905, S. 3",,x,Empfänger fehlt,"Kein Empfänger, Eintrag in ein Stammbuch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Liszt, Franz","Liszt, Franz",118573527,,,,"Alfieri, Marie","Alfieri, Marie",RD,,,,[Rom],[Rom],4050471-2,Rom,Rom,4050471-2,[Erste Januarhälfte 1879],,,,,,,[Erste Hälfte Januar 1879],1879-01-01,1879-01-14,zugeschrieben,"La Mara 1905, S. 342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Liszt, Franz","Liszt, Franz",118573527,,,,"Czerny, Carl","Czerny, Carl",118677667,,,,[Paris],[Paris],4044660-8,Wien,Wien,4066009-6,23.12.1828,,,,,,,23.12.1828,23.12.1828,23.12.1828,nach Edition,"La Mara 1893a, S. 3-4",,,,"Entstehungsort selbst ermittelt: ""Je joins ici mon adresse: (rue Montholon No. 7)"", möglicherweise die rue montholon in paris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Liszt, Franz","Liszt, Franz",118573527,,,,"Czerny, Carl","Czerny, Carl",118677667,,,,Paris,Paris,4044660-8,,,,26.08.1830,,,,,,,26.08.1830,26.08.1830,26.08.1830,nach Edition,"La Mara 1893a, S. 5-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Liszt, Franz","Liszt, Franz",118573527,,,,"Hiller, Ferdinand","Hiller, Ferdinand",118704931,,,,,,,,,,20.06.1833,,,,,,,20.06.1833,20.06.1833,20.06.1833,nach Edition,"La Mara 1893a, S. 8-10",,,,"Möglicherweise mehr daten, Brief unübersichtlich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sainte-Beuve, [Charles-Augustin]","Sainte-Beuve, [Charles-Augustin]",118604899,,,,Paris,Paris,4044660-8,Paris,Paris,4044660-8,22.12.1834,,,,,,,22.12.1834,22.12.1834,22.12.1834,nach Edition,"La Mara 1905, S. 6",,,,Vornamen Empfänger selbst recherchiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Liszt, Franz","Liszt, Franz",118573527,,,,"Lamennais, Félicité de","Lamennais, Félicité de",118568930,,,,"Paris, Rue de Provence 61","Paris, Rue de Provence 61",4044660-8,,,,14.01.1835,,,,,,,14.01.1835,14.01.1835,14.01.1835,nach Edition,"La Mara 1893a, S. 11-12",,,,"ganzen Vornamen selbst ergänzt, Entstehungsort selbst ergänzt: ""Je ne vous donne pas de nouvelles de Paris""",Alfred Bovet in Valentigney,,De profundis,x,,,12,R 668,De Profundis,"Erwähnung der Komposition. ""C'est un De profundis - instrumental. Le plain-chant que vous aimez tant y est conservé avec le faux bourdon.""",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Liszt, Franz","Liszt, Franz",118573527,,,,"Aubry, Francois","Aubry, Francois",RD,,,,[Rom],[Rom],4050471-2,Paris,Paris,4044660-8,[Mitte 1886/01/...],,,,,,,[Mitte Januar 1886],1886-01-11,1886-01-20,zugeschrieben,"La Mara 1905, S. 418-419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Liszt, Franz","Liszt, Franz",118573527,,,,"Liszt, Maria Anna","Liszt, Maria Anna",123449324,,,,[Genf],[Genf],4020137-5,,,,26.07.1835,,,,,,,26.07.1835,26.07.1835,26.07.1835,nach Edition,Hamburger 2000b,,,,,,[26. (ME [= Mária Eckhardt]: 28.) Juli 1835],Concerto de ma composition,,x,,65,R 455 (?),"Klavierkonzert Nr. 1, Es (?)","Liszt bittet seine Mutter, ihm ""Le Concerto de ma composition copié par Belloni avec la partie de piano et la Partition d'après laquelle il l'a copié"" nach Genf zu schicken; gemäß Hamburger (S. 74, Anm. 5) wurde das Werk bisher nicht eindeutig identifiziert",W | Q,Fantaisie symphonique sur des thèmes de Berlioz,,x,x,65,R 453,Grande fantaisie symphonique über Themen aus Berlioz' 'Lelio',"Liszts bittet seine Mutter, ihm ""La Fantaisie symphonique sur des thèmes de Berlioz (exécutée à mon Concert) copiée par Belloni et relié – les parties d'accourcissement [?] sont inutiles –"" nach Genf zu schicken; das erwähnte Konzert hatte im Pariser Hôtel de Ville am 09.04.1835 unter Leitung von Girard stattgefunden (S. 74, Anm. 9)",W | Q,un autre Concerto symphonique,x,x,,65,668 (?),De profundis (Psaume instrumental) (?),"Liszt bittet seine Mutter, ihm ""Un gros cahier bleu ou se trouve un autre Concerto symphonique que j'ai ecrit cet hiver au ratzen loch"" nach Genf zu schicken; gemäß Hamburger (S. 74, Anm. 10) wurde das Werk bisher nicht eindeutig identifiziert",W | Q,plusieurs morceux de ma composition,,x,,65,,,"Liszt bittet seine Mutter, ihm ""Un vieux cahier enveloppé de papier gris et que Puzzi connait, il contient plusieurs morceaux de ma composition"" nach Genf zu schicken; gemäß Hamburger (S. 74, Anm. 12) ist nicht bekannt, um welche Kompositionen es geht; Puzzi = Liszts Schüler Hermann Cohen (1820-1871), vgl. Hamburger S. 62, Anm. 5",Q,Sextetto,,x,,65,,,"Liszt bittet seine Mutter, ihm ""Mon Sextetto copié par le Polonais"" nach Genf zu schicken; Zusatz: ""à propos Puzzi a-t-il été lui demander des || airs polonais – a-t-il fait copier les airs tyroliens?""; gemäß Hamburger (S. 74, Anm. 13 u. 15) ist nicht bekannt, um welche Kompositionen es hier geht bzw. welche Liedersammlungen gemeint sind; bei dem ""Polonais"" könnte es sich um Stanislaw Brykczinski handeln (S. 74, Anm. 14)",Q,Collection d'Airs nationaux ,,x,,65,,,"Liszt bittet seine Mutter, ihm ""la Collection d'Airs nationaux que j'ai mis de coté et que puzzi [sic] connait egalement"" nach Genf zu schicken; gemäß Hamburger (S. 74, Anm. 16) ist nicht bekannt, welche Sammlung gemeint ist ",Q,3 morceaux,x,,,65,,,"""Bernard aura ces 3 morceaux à la fin de Septembre au plus tard - Je vais les ecrire immédiatement.""; gemäß Hamburger (S. 74, Anm. 17) ist nicht bekannt, um welche Kompositionen es geht",W,morceau de la Juive,x,,,65,170,Réminiscences de La Juive,"""Je travaille aussi au morceau de la Juive pour Schlesingern""",W,Duo pour Piano et Violon nach einer Mazurka von Chopin,,x,,66,R 461,Duo [sur des Thèmes polonais],"Ergänzung zu Kompositionen, die sich Liszt von seiner Mutter nach Genf schicken lassen möchte: ""un Duo pour Piano et Violon sur une Mazourk de Chopin""",W,Lieder von Schubert,,x,,66,,,"Ergänzung zu Kompositionen, die sich Liszt von seiner Mutter nach Genf schicken lassen möchte: ""les chants de Schubert qui se trouvent dans un cahier relié en vert (à l'italienne)""; bei Hamburger (S. 76, Anm. 28) nicht identifiziert",W | Q,Clochette | Apparitions etc.,,x,,69,R 231 | R 11,"Grande Fantaisie di bravura sur La ­clochette de Paganini | Apparitions 
","Liszt bittet seine Mutter ihm ""1 exemplaires [sic] de chacune de mes publications Clochette, Apparitions, etc."" nach Genf zu schicken",W | Q
10,"Liszt, Franz","Liszt, Franz",118573527,,,,"Liszt, Maria Anna","Liszt, Maria Anna",123449324,,,,[Genf],[Genf],4020137-5,,,,07.10.1835,,,,,,,07.10.1835,07.10.1835,07.10.1835,nach Edition,Hamburger 2000b,,,,,,[7 octobre 1835],les morceaux de Bernard et un pour Schlesinger,,x,,76,,,kündigt Sendung von Stücken an die Pariser Verleger Bernard [Latte] und Schlesinger an,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
