,MGG (1),MGG (2),MGG (3),Raabe,Searle,Eckhardt-Müller,Werktitel (MGG),Titel des Werks ,Populartitel,Vertonung,Fassung,Version,Titel des untergeordneten Werks,Abteilungen / Akte / Abschnitte,Sammlung 1,Sammlung 2,Tonart,Taktart,Tempoangabe,Besetzung,Text-Incipits,Widmung an,Widmung diplomatisch,Kommentar zur Widmung,Musikalische Vorlage,Komponist,Textvorlage,Textdichter,Vorlage Kunstwerk,Künstler,Lokalitätsbezug,Kompositionszeitraum,"Entstehung und Herausgabe
(Fließtext)",Erstausgabe,Link Notentext EA,Anthologie,Folgeausgaben,UA,Weitere Aufführungen,Konzertberichte,Werkrezensionen,"Verweis auf andere ""Werke""",Briefstellen,Literatur (1),Seite (1),Literatur (2),Seite (2),Literatur (3),Seite (3),Literatur (4),Seite (4),Literatur (5),Seite(5),Neuausgaben,Bearbeiter,Kommentare Bearbeiter,Autographe Entwürfe (1),Link,Kommentar,Autographe Entwürfe (2),Link,Kommentar,Autographe Entwürfe (3),Kommentar,Autograph(e Stichvorlage) (1),Link ,Kommentar,Autograph(e Stichvorlage) (2),Link,Kommentar,Autograph(e Stichvorlage) (3),Link,Kommentar,Autographe Abschrift (1),Link,Kommentar,Autographe Abschrift (2),Link,Kommentar,Autographe Abschrift (3),Kommentar,Autographe Abschrift (4),Kommentar,Drucke mit Eintragungen von Liszts Hand (1),Link,Kommentar,Drucke mit Eintragungen von Liszts Hand (2),Link,Kommentar,"Auktionen, Katalog",Link,Kommentar
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,477,2,I4,"Die Legende von der heiligen Elisabeth, Oratorium nach Worten von Otto Roquette",,,,,,,,,,,,,"S, A, 3 Bar, B, Chor, Orch., Orgel",,[König Ludwig II. von Bayern 118574892],,,,,Die Legende von der heiligen Elisabeth,[Otto Roquette 119034883],,,,,,"Lpz. 1867†, Kahnt",,,"Lpz. 1869, 1882 (frz. Version), Kahnt; L. 1884 (engl. Version), Novello","UA: Pest, 15.08.1865 (in ungar. Sprache); München, 24.02.1866 (in deutscher Sprache)",,,,"A192, B27, E25",,Deaville 1985,508–510,Menzel 2017 ,97–98,Tiemeyer 2018,80,Bartók 1993,"482, 485-486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,478,3,I7,"Christus, Oratorium nach Texten aus der Heiligen Schrift und der katholischen Lithurgie: I Oratorium in Nativitate Domini (Weihnachts-Oratorium): 1 Rorate coeli (Einleitung), 2 Angelus Domini (Pastorale und Verkündigung des Engels), 3 Stabat Mater speciosa (Hymnus), 4 Hirtenspiel an der Krippe (Pastorale), 5 Et ecce stella (Die heiligen drei Könige Marsch); II Post Epiphaniam: II Post Epiphaniam: 6 Beati pauperes spiritu (Die Seligkeiten), 7 Pater Noster (Gebet), 8 Tu es Petrus (Die Gründung der Kirche); 9 Et ecce motus magnus (Das Wunder), 10 Hosanna, benedictus qui venit (Der Einzug in Jerusalem); III Passio et resurrectio: Resurrexit! III Passio et resurrectio: 11 Tristis est anima mea, 12 Stabat Mater dolorosa (Jacopone da Todi), 13 O filii et filiae (Hymnus Paschalis), 14 Resurrexit!","Christus, Oratorium nach Texten aus der Heiligen Schrift und der katholischen Lithurgie",,,,,,,,,,,,"S, A, T, Bar, B, gemCh., Orch., Orgel",,,,,,,,,,,,,,"Lpz. 1872†, Schuberth",,,,"UA: Weimar, 29.05.1873; Teile daraus bereits früher (Rom, 1866 und 1867)",,,,"A222, A228, B30, E19, G31",,Eckardt 1986,27–30,Friddle 2005,90–99,Dufetel 2017 ,70–73,Angelis 1911,339-342,,,,DTie,,D-WRgs GSA 60/B 2,,,H-Bl Ms mus L 058-a-c,,,,,GB-Lbl Add MS 34182,,,,,,,,,D-WRgs GSA 60/B 33,,Nur 1. Teil Nr. 1-5; zeitgenössische Schrift und Handschrift von Liszt ,,,,,,,,H-Bn Ms.mus. 3.522,,,H-Bl Ms mus L 043,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,1 Rorate coeli (Einleitung),I Oratorium in Nativitate Domini (Weihnachts-Oratorium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,2 Angelus Domini (Pastorale und Verkündigung des Engels),I Oratorium in Nativitate Domini (Weihnachts-Oratorium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,3 Stabat Mater speciosa (Hymnus),I Oratorium in Nativitate Domini (Weihnachts-Oratorium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,4 Hirtenspiel an der Krippe (Pastorale),I Oratorium in Nativitate Domini (Weihnachts-Oratorium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,5 Et ecce stella (Die heiligen drei Könige Marsch),I Oratorium in Nativitate Domini (Weihnachts-Oratorium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,6 Beati pauperes spiritu (Die Seligkeiten),II Post Epiphaniam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,7 Pater Noster (Gebet),II Post Epiphaniam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,8 Tu es Petrus (Die Gründung der Kirche),II Post Epiphaniam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
