"Identifier | Nr.""",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzervermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Schreiber Titelei,Kopftitel,Schreiber Kopftitel,Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (normiert),GND-Nr. Ort,Schrift (fremde Hand und Liszt),Umfang,Papiermaß,Wasserzeichen (intern),Verlag (normiert),Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Datierung ermittelt (maschinenlesbar),Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale / Zustand der Quelle (intern), Inhalt (interner Vermerk),"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.) (intern)",Ausgabeform,Quellenautorität (für die Abbildung der Reiterstruktur in der Datenbank)
,1001260346,R 592b,Mignons Lied,D-WRgs ,GSA 60/D 7,,,Partitur,korrigierte Stichvorlage,,,,Mignon | (Für Alt Stimme),,Mignon,,"A, Kl","Sehr langsam, überspannt",,Deutsch,"Kennst du das Land, wo die Citronen blühn",,,,,,"[Joachim Raff 118597779] (schwarze Tinte), Liszt (Bleistift), Dr (Bleistift)","4 Blatt zu 2 Bogen (1 Titelseite, 6 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 286 x 219 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Saubere Abschrift von Raff, sporadische Annotationen zur Seiteneinrichtung vom Drucker mit Bleistift; Korrektur der Bassnote G (statt As) auf S. 8, T. 2, von Liszt selbst stammt wohl nur die Paginierung.",Fassung für Alt-Stimme,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191282,URoe,,,
,1001260347,R 592a,Mignons Lied,D-WRgs,GSA 60/D 7c,,,Partitur,korrigierte Stichvorlage,,,,Mignon's Lied ,,Mignon,,"Singst, Kl","Langsam, überspannt",,Deutsch,"Kennst du das Land, wo die Citronen blühn",,,,,,"zS (schwarze und rote Tinte), Liszt (rote Tinte)","6 Blatt zu 3 Bogen (1 Titelseite, 7 Seiten Notentext, 2 Leerseiten, paginiert)","Querformat, 315 x 239 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Eintragungen mit roter Tinte betreffen Tempi, Dynamik, Phrasierung, Pedalisierung und Korrekturen im einzelner Takte. Stammen teilweise von Liszt (zB. S. 2, Ende 3. System). Schlusstakt ist gestrichen und als 2 Takte neu komponiert (S. 7, Liszt).","Zuordnung Raabe-WV laut Findbuch, Fassungen vergleichen",Titelei: mit kalligraphischen Verzierungen,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191285,URoe,,,
,1001307107,R 592c,Mignons Lied,D-WRgs,GSA 60/D 8,,,Partitur,,,,,Mignon | (italien. Text) ,,Mignon,,"Singst, Kl",Lento assai,,Italienisch,"Sai tu la terra, ove l'arancio spiega",,,,,,"zS (schwarze Tinte), Liszt (schwarze Tinte)","8 Blatt zu 4 Bogen (1 Titelseite, 9 Seiten Notentext, 6 Leerseiten, teilpaginiert)","Hochformat, 355 x 270 mm, 14 Notenzeilen, handrastriert",DE CANSON FRÈRE VIDALON-LES-ANNONAY (rechter Rand),,,,,,,,,,,,,"Saubere Abschrift, Eintragungen von Liszt betreffen Dynamik (zB. S. 1, letzten 2 Takte), Pedalisierung (zB. S. 3), Tempoangabe (zB. S. 4, 2. System, letzter Takt).","andere Fassung: E-Dur, 6/4-Takt, italien. Text (""Sai tu la terra"")",Titelei: Archivar (Bleistift),https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191287,URoe,,,
,1001307117,R 592,Mignons Lied,D-WRgs,"GSA 60/D 8,1",,,Stimme,,,,,,,Mignon,,Singst,,,Französisch,Le connais tu? Ce pays enchanté,Leo d' Ageni ,Leo d' Ageni | Weimar 23 Juni 1883,1883-06-23,Weimar,4065105-8,"zS (schwarze und rote Tinte), Liszt? (blauer Stift), zS (schwarze Tinte, Bleistift, gelber Stift)","5 Blatt zu 1 Bogen und 3 Einzelblatt (7 Seiten Notentext, 3 Leerseiten, paginiert)","Querformat, 178 x 268 mm, 8 Notenzeilen, gedruckt (B & H. Nr. 19 C.)",,,,,"1970-06-09, [Günther Kraft 134171632], GSA-Findbuch",,,,,,,,,"Saubere Abschrift der Singstimme in Es-Dur ohne Klavierbegleitung mit der Textübersetzung von Leo d'Ageni (Altsänger in Weimar). Der Notentext entspricht weitgehend der Fassung für Alt-Stimme. Der Titel und die signierte Datierung sind mit roter Tinte geschrieben und stammen eventl. wie die gesammte Abschrift von Leo d'Ageni. Dazu finden sich wenige Korrekturen im Notentext und dem Gesangstext vom Liszt? mit blauem Stift (S. 4, 6), die Markierungen mit Bleistift (S. 5, 7) und gelbem Stift (S. 1, 5) lassen sich nicht eindeutig zuordnen.","Signatur enthält französische Übersetzungen in der Handschrift des Notentextes zu Mignon von G. Lagye, A. Tardien, L. d'Ageni, dazu in einer weiteren Handschrift französische Übersetzung von G. Lagye zu Mignon mit einer Korrektur von Liszt, ""Wer nie sein Brot"" und ""Es war ein König in Thule"" (7 Blatt).; beiliegende Mappe NFG (GSA): Ankauf Prof. Günther Kraft, Weimar, 9.6.1970 (vgl. GSA-Findbuch)","Datierung: Leo d'Ageni, Name des Schreibers?! keine GND",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191288,URoe,,,
,,R 504,Domine salvum fac regem,D-WRgs,GSA 60/B 26b,,,Partitur,,,,,Domine salvum fac ,,Domine salvum fac regem,,"T, MCh (TB), Orch (2 Klar in A, 2 Ob, 2 Hr in C, 2 Hr in F, 2 Fg, 2 Trp in D, Apos, Tpos, Pk, Kb) ",,,,,,,,,,[Joachim Raff 118597779] (sepia und rote Tinte),"8 Blatt (1 Titelseite, 13 Seiten Notentext, 2 Leerseite, foliiert)","Hochformat, ??? x ??? mm, 13 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Saubere Abschrift von Raff, kleine Korrekturen mit blauem Stift auf S. 6v und 7r.",Dazugehöriger? Stimmensatz befindet sich in D-WRha Mus.ms B 124 (RISM 250013836).,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190899,BV,,,
,1001305871,R 610a,Über allen Gipfeln ist Ruh,D-WRgs,GSA 60/D 4,,,Partitur,,,,,,,,,"Singst, Kl",Langsam,,Deutsch,Ueber allen Gipfeln ist Ruh',,10 Dezember,xxxx-12-10,,,[Adolf Stahr 11875257X] (schwarze Tinte),"2 Blatt zu 1 Bogen (3 Seiten Notentext, 1 Leerseite)","Hochformat, 318-322 x 237 mm, 10 Notenzeilen, gedruckt (Cöln, bei Eck & Comp.)",,,,,,,,,,,,,,Enthält keine Korrekturen o.ä. von Liszt.,Schreiber laut GSA Datenbank,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191278,URoe,,,
,1001305891,"R 582a,1; R 582a,2; R 582a,3; R 609a; R 610a; R 579a; R 579b",Schiller- und Goethelieder,D-WRgs,GSA 60/D 5,,,Partitur,korrigierte Stichvorlage,x,,,,,"Lieder aus Schiller's ""Tell"" | Schiller und Göthe | Lieder | von | Franz Liszt | Lieder aus Schiller's ""Tell",,"Singst, Kl",,,,,,,,,,"zS (schwarze Tinte), Liszt (schwarze Tinte, Rötel, Bleistift)","18 Blatt zu 8 Bogen und 2 Einzelblatt (Fadenheftung, 35 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 320 x 235-238 mm, 12 Notenzeilen, handrastriert; Korrekturblatt S. 25, Hochformat, 326 x 255 mm, 20 Notenzeilen, handrastriert",,,,T. H. 10566,,,,,,,,Die Bogen sind teils aus der Fadenheftung gerissen.,,"Die mit Bleistift geschriebene Paginierung stammt von Liszt. Seine Hinzufügungen betreffen Titel- und Textkorrekturen, Stimmenangaben, Dynamik, Tempi, Phrasierungen, Noten- bzw. Taktstreichungen und -korrekturen, Fingersätze. Die Abschrift enthält weitere Eintragungen (Plattennummer, Seitenaufteilung) mit Bleistift.",,"Kopftitel: Lieder aus Schiller's ""Tell"" gestrichen (S. 1)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191279,URoe,,,
,1001306070,"R 582a,1",Der Fischerknabe,D-WRgs,GSA 60/D 5,,,Partitur,korrigierte Stichvorlage,,,1001305891,,,1.,,"T, Kl","Allegretto, senza slentare",,Deutsch,Es lächelt der See,,,,,,,S. 1-8 (von 18 Blatt),,,,,,,,,,,,,,,"Liszt ergänzt mit schwarzer Tinte Stimmen- und Tempoangaben sowie einige Angaben zu Fingersätzen, Pedalisierung, Dynamik und Phrasierung. Auf S. 7 und S. 8 verwendet er zusätzlich Rötel, um Angaben zur Dynamik und Phrasierung einzutragen. ",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191279,URoe,,,
,1001306072,"R 582a,2",Der Hirt,D-WRgs,GSA 60/D 5,,,Partitur,korrigierte Stichvorlage,,,1001305891,,,2.,,"Singst, Kl",Andante pastorale,,Deutsch,"Ihr Matten, lebt wohl!",,,,,,,S. 9-14 (von 18 Blatt),,,,,,,,,,,,,,,"Liszt ergänzt mit schwarzer Tinte und Rötel einige Angaben zu Tempo, Fingersätzen, Pedalisierung, Dynamik und Phrasierung. ",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191279,URoe,,,
,1001306076,"R 582a,3",Der Alpenjäger,D-WRgs,GSA 60/D 5,,,Partitur,korrigierte Stichvorlage,,,1001305891,,,3.,,"Singst, Kl",Allegro agitato assai,,Deutsch,Es donnern die Höh'n,,,,,,,S. 15-20 (von 18 Blatt),,,,,,,,,,,,,,,"Liszt ergänzt mit schwarzer Tinte einige Angaben zu Tempo, Dynamik und Phrasierung. Auf S. 18 streicht er im 1. System mit Rötel 2 Takte des Klavierzwischenspiels. Auf S. 20 streicht er im 6. Takt des 2. Systems mit Rötel die Bassstimme der Klavierbegleitung und notiert diese am linken Rand mit schwarzer Tinte neu. Zudem korrigiert er an der Stelle mit Rötel die Textverteilung. ",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191279,URoe,,,
