"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Kommentar zur Signatur,Stadium der Werkgenese,Funktion,"interne Sicherung vormaliger ""Typ""-Einträge",Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung (normiert),Tempoangabe (normiert),Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Kommentar zur Widmung,Datierung (diplomatisch),Datierung (maschinenlesbar),Datierung ermittelt maschinenlesbar,Datierung Kommentar,Datierung Ort nach GND,Datierung Ort ermittelt,GND-Nr. Ort,Schrift (fremder Hand),Umfang,Papiermaß,Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale, Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Sonstige Infos, Ausgaben, Permalinks",,,Provenienz Station 1,Provenienz Station 2,Provenienz Station 3
,1001258509,"R 662,2 | S 693,2 | Q12","Zwei Klavierstücke ungarischen Charakters, Nr. 2 b-Moll",D-WRgs,GSA 60/I 12a,"Ms I, 12",,Fragment,,"Arbeitsmanuskript, Fragment",,,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"7 Blatt zu 1 Bogen und 5 Einzelblatt, 14 Seiten Notentext, foliiert","Querformat, 260 x 356 mm, 16 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,Blatt 7 ist nur 344 mm breit (Rand abgeschnitten); Längsfalz,"Quelle ist sehr ordentlich geschrieben, bricht allerdings unvermittelt am Ende ab","Sehr übersichtliches Arbeitsmanuskript mit schwarzer Tinte ausgeführt, relativ wenige Streichungen und Rasuren. Der Klaviersatz ist zur größeren Deutlichkeit oft auf drei Systemen notiert (mittlere Zeile aus Platzgründen hier dann freigehalten). Das Manuskript endet nach einer steigenden chromatischen Doppeloktavpassage mit einer leeren d-Oktave. Das Ende bzw. der Abbruch wird mit einem langen doppelten Querstrich markiert.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192146,DTie,,,,,,
,nicht eingetragen,"(R 89), (R 90)","Komposition unter Verwendung spanischer Themen, dabei die ""Jota aragonesa""",D-WRgs,GSA 60/I 41,"Ms I, 41",,Fragment,,"Entwurf, Skizzen",,,,,,Spanische Rhapsodie (?),Raabe (Bleistift),Kl,,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)","23 Blatt zu 9 Bogen und 5 Einzelblatt, 41 Seiten Notentext, 5 Leerseiten, foliiert","Querformat, 231 x 330 mm, 10 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,,,"Bei der Quelle könnte es sich um Skizzen handeln, die durchaus Entwürfe zu verschiedenen Kompositionen beinhalten. Darauf schließen lässt das auf Blatt 5r mit Bleistift geschriebene ""?"" von Raabe (?), das über einem neuen Abschnitt, der mit Vivace überschrieben ist, steht. Identifikation zur Zeit äußerst schwierig. Insbesondere virtuose Passagen sind jedoch ohne Striche quasi in Reinschrift notiert. Blatt 4v Notiz von Liszt mit schwacher Tinte ""Fandango e Taros"". Auf Blatt 23r kommt zum einzigen Mal der Bleistift mit einer einstimmigen Melodie zum Einsatz, die nur in den letzten zwei Takten mit Akkorden unterlegt ist. ","Laut einer Bleistiftnotiz von Raabe auf der beiliegenden, alten Mappe: ""Grundlage zur 1863 komponirten Rhapsodie | xx xx in der L. Ramann gewidmeten | Konzertfantasie über span. Weisen xx"". Quelle wird in NLGA II/12 mit Rhaposie espagnol (R 90) genannt, kann aber trotz der ""jota aragonaise"" weder mit diesem Werk noch mit der 1845 beendeten Großen Konzertfantasie über spanische Weisen (R 89) ein Einklang gebracht werden.",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192248,DTie,,,,,,
,1001259705,R 37 [?] | S 695e | Q21,Petite Valse (Nachspiel zu den 3 vergessenen Walzern),D-WRgs,GSA 60/I 71,,,Fragment,,Reinschrift (Fragment),,,,,,Petite Valse | Nachspiel zu den 3 Vergessenen Walzer | (Valses oubliées),Liszt (schwarze Tinte),Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"2 Blatt zu 1 Bogen, 4 Seiten Notentext, paginiert","Hochformat, 334 x 253 mm, 12 Notenzeilen, handrastriert",,,,,,,,"Bogen ist in vier Teile zerrissen worden und wurde wieder zusammengeklebt. Die Teile sind separat mit a,b,c [auf S. 1 mit a, b, c und d] paginiert worden. Liszt schreibt die Musik sauber und mit viel Platz auf zwei bis drei Systeme. Das Manuskript bricht jedoch auf der letzten Seite unvermittelt ab. ",Hier eine Transkription der Quelle: https://s9.imslp.org/files/imglnks/usimg/1/15/IMSLP722292-PMLP1150514-Petit_Valse_S.695e.pdf Mögliche motivische Beziehung zu den trois valses oubliées wäre noch zu prüfen.,Auf Archivmappe: Die Restaurierung wurde ermöglicht durch Karin Mitterhauser (Weimar) Juli 2008,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192359,DTie,,,,,,
,1001303032,R 30 | S 151 | A6,Allegro di Bravura,D-WRgs,GSA 60/I 78b,,,Fragment,,"Skizze, Fragment",,,,,,"Liszt, op. 4 Nr. 1",Raabe (Bleistift),"Fl, Ob, Klar, Hr in Es, Fg, Vl, Vla, Vlc, Kb, BPos, Pk in Es und B",,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext","Querformat, 274 x 400 mm, 20 Notenzeilen, handrastriert",,,,,,"Längsfalz, Schäden am Rand und Stockflecken",,"Kurze Orchesterskizze zur Orchestrierung der Einleitung des Allegro di Bravura. Unterschiedliche Strichstärke der Tinte könnte auf spätere Hinzufügungen hindeuten. Die Fagottstimme auf [S. 2] ist gestrichen, mit Verweiszeichen markiert und erhielt ihre alternative Variante am unteren Seitenende. ","Es handelt sich um die Orchestrierung der ersten Seite von Quelle 60/I 78a; bis zum Vorzeichnewechsel hin zu 4#.

Druck HAAB: urn:nbn:de:gbv:32-1-10023907140
Digitalisat Notentext, Kistner, als Oeuvre 4 [1825]: https://haab-digital.klassik-stiftung.de/viewer/image/1636174434/5/",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192402,DTie,,,,,,
,1001259232,R 280 | S 447 | A239,Isoldes Liebestod,D-WRgs,GSA 60/U 32,,,Fragment,,Arbeitsmanuskript (unvollständig),,,,,,Isolden's Liebes-Tod - Schluss Scene Richard Wagner's | Tristian und Isolde -,Liszt (rote Tinte),Kl,Sehr langsam,,,,,,,,,,,,"Liszt (schwarze, sepiafarbene und rote Tinte, roter und blauer Stift)","2 Blatt zu 1 Bogen, 4 Seiten Notentext","Hochformat, ??? x ??? mm, 24 Notenzeilen, handrastriert ",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,,,"Liszt differenziert in seinem Manuskript sehr deutlich zwischen dem Notentext, der in schwarzer/sepiafarbener Tinte geschrieben ist und seinen Zusätzen von Dynamik, Phrasierung, Pedalisierung, Fingersätzen usw., die hauptsächlich mit roter Tinte notiert sind. Der Beginn war ursprünglich anders konzipiert, mit einem Verweis auf das große Liebesduett im zweiten Aufzug, indem Liszt groß mit blauem Stift den Vers ""Liebe hei - liges Leben"" niederschrieb, dies dann aber mit blauem Stift wieder gestrichen hat (es handelt sich aber um die Worte der einleitenden vier Takte der Transkription). Auf [S. 1] befinden sich zudem zwei Überklebungen mit einem respektive zwei neuen Systemen. Die erste Überklebung zeigt auch, dass die ersten beiden Takte der Transkription ursprünglich mit einem nachher gestrichenen Tremolo im Bass unterlegt waren. [S. 2] Streichung einer Mittelstimme mit rotem Stift im ersten Takt (einziger Einsatz dieses Schreibgeräts). Zusatz mit roter Tinte: ""die Begleitung immer sehr ruhig und pp"". Arbeitsmanuskript bricht bei Takt 65 (vgl. NLGA, II, Bd. 24, S. 139) ab, weist hier aber auch eine andere Art der harmonischen Umkleidung der unendlichen Melodie auf, da Liszt im Manuskript 32tel-Tremoli statt den 16tel Akkordrepetitionen gesetzt hat. Der Schluss fehlt in der Quelle, was schon Raabe mit einem Bleistiftzusatz auf der ersten Seite vermerkt hat.",Wo ist die letzte Seite?,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209449,DTie,,,,,,
,,R 654 | S 346 | P1,Lenore. Ballade von [Gottfried August Bürger 118517104] mit melodramatischer Pianoforte-Begleitung zur Deklamation,D-WRgs,GSA 60/G 4,,,Fragment,,,,,,,,Leonore,Liszt (Bleistift),"Sprecher, Kl",Heftig und rasch,,Leonore fuhr ums Morgenroth,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)","1 Blatt, 2 Seiten Notentext, paginiert","Hochformat, 255 x 173 mm, 20 Notenzeilen, handrastriert",,,,,,,,"Das Autograph enthält den Beginn der Komposition bis zu dem Vers ""Hilf Gott, hilf! Geh nicht ins Gericht"".","Druck HAAB: urn:nbn:de:gbv:32-1-10036879755

Digitalisat Notentext, Kahnt [1860]: https://haab-digital.klassik-stiftung.de/viewer/image/4126197117/15/",Blatt 54,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192023,BV,,,,,,
,,"S 701,1",[Glasgow Fragment],GB-Gu,MS Zavertal Cb11-x.3_20a,,,Fragment,,,,,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Einzelblatt, 1 Seite Notentext, 1 Leerseite","Hochformat, 343 x 249,5 mm, 18 Notenzeilen, handrastriert",,,Glasgow University Library,Glasgow University Library,,,,"Saubere Reinschrift mit Tinte einer virtuosen Komposition in As-Dur (?). Dass es sich um eine Reinschrift handeln könnte, zeigt wohl auch die für Liszt eher unübliche konsequente Setzung von Akkoladenklammern vor jedem System. Es handelt sich um einen Ausschnitt aus einer Komposition, ersichtlich an dem recht unvermittelten Beginn der notierten Musik. Die ersten eineinhalb Notenzeilen werden wiederholt, was an den Wiederholungspunkten und an Liszts schriftlichem Zusatz ""Imo"" zu erkennen ist. Nach dem Doppelstrich geht die Musik mit raschen 32tel bis 64tel Wechselnoten und Skalen in der rechten Hand, die von 16tel Akkordbrechungen der linken Hand unterlegt werden, weiter. Die fließende, perlende Textur lässt auf einen etüdenhaften Charakter schließen, oder auf eine sehr virtuose Passage. Musikalisch ""läuft"" die Reinschrift untypisch für Liszt am Ende aus, indem die Musik im Bass regelrecht auf drei (schlecht lesbare) Achteltöne (es-d-ces?) über einer Fermate verklingt. Auf der Rückseite findet sich die Eintragung von fremder Hand: ""Autographe [lies: Autograsche] von Fr. Liszt"".
Das Papier ist ein einem relativ schlechten Zustand und wurde in der Mitte gefaltet aufbewahrt; an den Faltkanten befinden sich Risse, die auf beiden Seiten mit Klebestreifen repariert wurden. Auf der Rückseite ist auch der untere Rand mit Klebestreifen unterstützt.",Vom Aussehen und der technischen Gestalt sieht es mir sehr nach Etude aus,"Eine Identifizierung steht noch aus, da es Searle allerdings als ""Albumblatt"" listet, ist davon auszugehen, dass es kein Blatt aus einer bereits publizierten Komposition ist.",Digitalisat von Bibliothek bekommen,DTie,"https://archiveshub.jisc.ac.uk/search/archives/664f6366-11a8-3bd4-bda9-be396c130333?component=7f75938e-915e-3914-95b5-fc2bc4901514
(Nachweis)",,,,,
,,R 423 | S 106 | G15,Die Ideale,D-WRgs,GSA 60/V 32,,,Fragment,,Einzelblatt | Fragment,,,,,,[Manuscript von Dr. Fr. Liszt | nachrichtl. K. Graefe],,Kl 4hdg,[Allegro vivace],,,,,,,,,,,,"Liszt (schwarze und sepiafarbene Tinte, blauer Stift), Besitzer (Bleistift)","1 Blatt, 2 Seiten Notentext (paginiert)","Hochformat, ??? x ??? mm, 20 Notenzeilen, handrastriert",,,Goethe-National-Museum Weimar 721/1951,GOETHE-NATIONAL-MUSEUM WEIMAR [Stempel] | 721/1951,,,,"Es handelt sich hierbei um ein Einzelblatt aus Liszts Reinschrift einer vierhändigen Version der Symphonischen Dichtung ""Die Ideale"". Das Fragment dokumentiert deutlich zwei Arbeitsphasen von Liszt durch den Wechsel des Schreibstoffes. [S. 1] ist nahezu komplett mit schwarzer Tinte notiert, diese bricht mit der Vorzeichnung von 5 # vor dem unteren System jedoch ab. Danach wird eine Arbeitspause erfolgt sein und Liszt nahm die Reichschrift nun mit Sepiatinte wieder auf, mit der auch die Eintragungen der Dynamik sowie die Tempovorschrift Allegro vivace im zweiten System erfogtt sind. Dass es sich hierbei um ein Einzelblatt aus einem größeren Zusammenhand handelt geht unmittelbar aus dem unvermittelten Beginn und Schluss hervor, sowie aus der Paginierung von Liszt mit blauem Stift. Diese ist auf [S. 1] wohl durch die Restaurierung des Blattes nicht mehr zu erkennen, dafür ist die Zahl ""26"" auf [S. 2] umso deutlicher sichtbar. Schließlich finden sich mit Bleistift nachträglich hinzugesetzte Abschnittseintragungen (Dd und Ee), die nicht von Liszt stammen und den Gesamtzusammenhang herstellen.
Die Eintragungen lassen auch darauf schließen, dass das Blatt von Rudolph Patzrekk gekauft (?) wurde und im Anschluss dem Liszt-Museum respektive dem GSA vermacht wurde. ","Einzelblatt aus einer zusammenhängenden Reinschrift - wo ist der Rest der Quelle, lässt sich das rekonstruieren?",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209640,DTie,,,,,,
,,"R 10b,1 | S 161 | A55",Sposalizio,D-WRgs,GSA 60/V 33,,,Fragment,,,,,,,,,,,,,,,,,,,,,,,"Liszt (schwarze Tinte, roter und blauer Stift)","2 Blatt zu 1 Bogen, 4 Seiten Notentext, paginiert","Hochformat, ??? x ??? mm, 12 Notenzeilen, handrastriert",,,,,,graue Notenlinien,,"Die ersten drei Seiten enthalten eine Niederschrift aus einem Teil des Sposalizio. Diese hat die Gestalt einer Reinschrift, da es keine Streichungen oder Korrekturen im Notentext, allerdings starke Rasuren in der linken Hand des Primo zu Beginn gibt. Die Wiederholung der ersten beiden Notensysteme ist deutlich mit zinnoberrotem Stift markiert, die Paginierung durch Liszt (S. 8-10) erfolgte mit blauem Stift. Dieser Nummerierung nach ist zu schließen, dass die Seiten 1-7 verloren gegangen oder wo anders gelagert sind. Die Notation bricht unwillkürlich auf der leeren Gis-Oktave ab. Über dem Doppelstrich ist das Tempo ""piu Lento"" notiert, so dass davon auszugehen ist, dass Liszt das Arrangement weiter führen wollte.
Auf der Rückseite jedoch findet sich ein einseitiger Ausschnitt aus einem vierstimmigen ""Er lebe hoch!""-Chorsatz in D-Dur, der mit einem fanfarenartigen Vorspiel beginnt und voll ausnotiert ist. Der Notentext wurde aber komplett mit blauem Stift gestrichen.","Hier handelt es sich um einen Bogen, der durch die Nummerierung klar ausgewiesen einem größeren Gesamtzusammenhang entspringt - wo ist der Resr der Quelle?","Zuordnung des ""Er lebe hoch!""-Chors auf der Rückseite des letzten Blattes unklar",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209641,DTie,,,,,,
,,-,Sainte Cécile (Liedfragment),A-Wn,Mus.Hs.39550,,,Arbeitsmanuskript,,,,,,,,,,"Singst, Kl",,Französisch,[...] acts lui rendent hommage [?] lui donne des traits ton chants Raphael a peint son image,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext, foliiert","Hochformat, 315 x 238 mm, 14 Notenzeilen, handrastriert",,,Musiksammlung ÖNB,Musiksammlung ÖNB,,Blatt wurde zweifach gefaltet aufbewahrt und das Papier stark restauriert. ,,"Fragment, beginnt mitten im Stück, gestrichener erster Takt, Arpeggien im Klavier. Auch wenn die Quelle relativ stark beschädigt ist, ist die Schrift sehr sauber und weist bis auf den Beginn keine Korrekturen oder Striche auf. ","Ich habe den Eindruck, dass die Foliierung vertauscht ist, das Fragment also auf Blatt 1v beginnt (nicht 1r), zu sehen an den Tremoli in der rechten Hand im Klavier.","Scheint nicht in ""Muttertabelle"" auf, über Zettelkatalog in ÖNB ermittelt. Man müsste beim Werkeintrag den Zusammenhang zur Komposition der Legende für Mezzo und Orchester herausarbeiten. ",https://digital.onb.ac.at/RepViewer/viewer.faces?doc=DTL_3467282&order=1&view=SINGLE,DTie,,,,,,
