"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Stadium der Werkgenese,Autographe Funktion,,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung (normiert),Tempoangabe (normiert),Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Kommentar zur Widmung,Datierung (diplomatisch),Datierung (maschinenlesbar),Datierung ermittelt maschinenlesbar,Datierung Kommentar,Datierung Ort nach GND,Datierung Ort ermittelt,GND-Nr. Ort,Schrift (fremder Hand),Umfang,Papiermaß,Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale, Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar,Kommentar intern,Digitalisat,Bearbeiter,"Sonstige Infos, Ausgaben, Permalinks",Provenienz Station 1,Provenienz Station 2,Provenienz Station 3
,1001261504,R 381/1,"Präludium und Fuge über das Thema B.A.C.H. für Orgel, Anhang",D-WRgs,GSA 60/M 1,Ms M 1|d,,Arbeitsmanuskript,Korrekturblatt,,,x,1001261076,,,,,Org,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite","Querformat, 268-273 x 347 mm, 18 Notenzeilen, handrastriert, oben abgeschnitten",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,"Das autographen Korrekturblatt liegt dem Druckexemplar bei, ebenso eine Reinschrift und eine Abschrift von Liszts Korrekturen. Das Blatt war ursprünglich GSA 60/M 2 mit der alten Signatur ""Ms (zu M 2b)"" zugeordnet.",,"Das Autograph bezieht sich auf den Anhang zur Komposition, der eine leichtere Ausführung eines Abschnitts der Komposition ermöglichen soll, den Ort Liszt in dem Druckexemplar mit blauem Stift markiert. Die Stellenangaben im Autograph beziehen sich auf das Druckexemplar. Insgesamt bezieht sich das Blatt auf ""Seite 9 und 10 der Bach-Fuge"", die erste alternative Passage setzt ein auf ""Seite 9 - 4ter Takt - [spätere Ergänzung von fremder Hand:] der Bachfuge v. Franz Liszt"" und die zweite Passage auf ""Seite 10 - 1ter Takt"".
Dieses Autograph gibt das erste Stadium des Anhangs zur Komposition wider. Die Abschrift GSA 60/M1c beruht auf der Vorlage dieses Autographs. Allerdings entschließt sich Liszt später, die zwei erleichternden Passagen zu einer zusammenzufassen. Bei der Zusammenfassung entfallen die vier den beiden Passagen jeweils vorhergehenden Takte. Das Entfallen der jeweils vier Takte entspricht der zweiten Orgel-Fassung der Komposition, und zwar sowohl in der gewöhnlichen wie in der erleichterten Ossiavariante. Im letzten Stadium der Abschrift des Anhangs, sind die beiden Passagen noch getrennt voneinander. ",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192470,BV,,,,
,,R 609a | S 297/1 | N34,Wer nie sein Brot mit Tränen aß,A-Wn,Mus.Hs.42495,,,Arbeitsmanuskript,Korrekturblatt,,,,,,,,,"Singst, Kl",poco Rinforz,,der kennt euch nicht Ihr himmlischen Mächte,,,,,,"Dr. [Gille 117737623] aus Jena weist Echtheit von Liszts Handschrift nach, 5.11.1896",,,,"Liszt (schwarze Tinte, blauer Stift), [Gille 117737623] (schwarze Tinte)","1 Blatt, 1 Seite Notentext, 1 Leerseite","Hochformat, 340 x 262 mm, 14 Notenzeilen, handrastriert, foliiert",,,Musiksammlung ÖNB,Musiksammlung ÖNB,,"Graublaues Notenpapier, an der Rückseite restauriert.",,"Es handelt sich um ein Korrekturblatt zum Goethe-Lied ""Wer nie sein Brot mit Tränen aß"", ersichtlich an den drei Abschnitten aus dem Lied, die von Liszt jeweils mit Großbuchstaben mit blauem Stift angezeigt und mit dem Verweis ""weiter Seite 26, 27, 29"" gekennzeichnet sind. Am oberen Seitenende ist mit Bleistift der Vermerk ""Gedruckt"" zu lesen, am unteren Ende bestätigt Carl Gille die Authentizität der Handschrift Liszts: ""Franz Liszts eigenhändige | Niederschrift bescheinigt | Dr. [Gille 117737623] Jena 5/11. | 96"". Das Blatt ist mehrmals gefaltet aufbewahrt worden.",,,https://digital.onb.ac.at/RepViewer/viewer.faces?doc=DTL_4059662&order=1&view=SINGLE,DTie,,,,
,,R 477 | S 2 | I4,Die Legende von der Heiligen Elisabeth,A-Wn,Mus.Hs.42278,,,Arbeitsmanuskript,Korrekturblatt,,,,,,,,,GCh (SATB),Presto sempre alla breve,,Dieu le veut Tout s'ement,,,,,,,,,,"Liszt (schwarze und rote Tinte, blauer und roter Stift), Dr (Bleistift)","3 Blatt, 5 Seiten Notentext, foliiert, 1 Leerseite","Hochformat, 310 x 240 mm, 14 Notenzeilen, handrastriert",,,Musiksammlung ÖNB,Musiksammlung ÖNB,,,,"Es handelt sich um drei Korrekturblätter zu Chören aus der Heiligen Elisabeth, allerdings mit französischem Text, wie Liszt selbst jeweils zu Beginn jeder Seite vermerkt: ""Texte français Feuille de Correction"". Die Einzelseiten sind mit Großbuchstaben (zinnoberroter Stift, A-D) versehen und die entsprechenden Korrekturen mit Seitenzahlen vermerkt (Page 71, 73, 75, 77, 94, 105, 108). Der Schluss der Blätter ist mit ""Fin"" markiert. Textkorrekturen sind mit Rasuren hergestellt, dann mit unterschiedlichem Schreibgerät angefertigt (rote Tinte, blauer Stift, schwarze Tinte). Auf Blatt 2r unten Bleistiftvermerk (vom Drucker?) ""Heil. Elisabeth"". Die Quelle wurde gefaltet aufbewahrt und weist dementsprechend eine schwarze Falte in der Mitte auf.","Die Textänderung erfolgt nur auf Blatt 1r mit anderen Farben, Tout s'ement (erstes System, rote Tinte) und Oui Dieu statt Le veut (unterstes System, blauer Stift).",,https://digital.onb.ac.at/RepViewer/viewer.faces?doc=DTL_2589819&order=1&view=SINGLE,DTie,,,,
,,R - | S 723 | D18,"Tristia, Vallé d'Obermann",A-Wn,F28.Goellerich.619,,,Arbeitsmanuskript,Korrekturblatt,,,,,,,"""Tristia"" | Vallé d'Obermann)",,"Vl, Vlc, Kl",,,,,,,,,,,,,"Liszt (schwarze Tinte, blauer Stift)","1 Blatt, 2 Seiten Notentext","Hochformat, 330 x 239 mm, 12 Notenzeilen, handrastriert",,,Musiksammlung ÖNB. Nachlass Göllerich,Musiksammlung ÖNB. Nachlass Göllerich,,,,"Korrekturblatt von Liszt, gut an dem Hinweis mit blauem Stift zu ersehen: ""zu Seite 14"". Angabe mit Tinte über dem Klavierpart: ""Violin und Cello bleiben | wie geschrieben!"". Es muss sich also um eine Kammermusik-Fassung handeln (Klavierpart weist keine Ähnlichkeit mit dem Vallé d'Obermann aus den Années de Pèlerinage auf). Korrektur besteht insgesamt aus 10 Takten (zumeist oktavierte, aufsteigende Melodie in rechter Hand, fundiert von wuchtiger Begleitung, Bassoktaven und nachschlagende Achtelakkorde). Das Blatt wurde doppelt gefaltet aufbewahrt.",,"Müssen die Fassung der ""Tristia. Vallée d'Obermann"" ermitteln. ",https://digital.onb.ac.at/RepViewer/viewer.faces?doc=DTL_3467104&order=1&view=SINGLE,DTie,,,,
,1001259825,S 243bis/2,"Ungarische Nationalmelodien,
im leichten Stil bearbeitet, Nr. 2 Animato",D-WRgs,GSA 60/I 84,,,Arbeitsmanuskript,Korrekturblatt,,,,,,,,,Kl,a capriccio,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel)","1 Blatt, 2 Seiten Notentext","Hochformat, 261-274 x 242 mm, 13 Notenzeilen, handrastriert, oben abgeschnitten",,,,,,Quer- und Längsfalz; oben verso Reste von Kleber,,"Es handelt sich um ein einzelnes Blatt, dass oben zu schräg zugeschnitten ist und gefaltet aufbewahrt wurde. Die Komposition ist aufgrund der Kürze schwer auszumachen, sie besteht in erster Linie aus Akkorden in der rechten und chromatischen 16tel-Läufen in der linken Hand. Die letzten beiden Systeme weisen eine ""Cadenza ad libitum (kleine Noten[)]"" auf mit chromatisch aufsteigenden Doppelterzgängen in beiden Händen auf. Am unteren Ende der recto-Seite findet sich folgender Eintrag: ""die Aechtheit dieser Handschrift Liszt's bestätigt [Aloys Fuchs 118693948]."" Die gesamte Rückseite ist in einer bizarren und energischen Manier gestrichen.",Bleistifteintragungen (Zahlen) weisen wohl auf Drucker hin.,"Fassungen vergleichen, entspricht nicht dem Druck in der NLGA, I/14, siehe Druck Liszt Society Publications, Bd. 1 (Schott, 1951)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192420,DTie,,,,
,1001234807,"R 598, R 599a, R 601, R 596a",[Korrekturen zu Liedern],D-WRgs,GSA 60/D 61,,,,Korrekturblatt,,,x,1001234855,,,,,"St, Kl",,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel, Bleistift)",Blatt 6r-9v (von 9 Blatt),"Hochformat, 340 x 266 mm, 13 Notenzeilen, handrastriert",,,,,,,,"Blatt 6r: Enthält Korrekturen zu ""Wo weilt er"", R 598 zu den Buchstaben D-F (vgl. vorliegende Quelle, S. 33-38 und GSA 60/D 34). | Blatt 6v-Blatt 7r: Blatt 6v ist von Liszt mit schwarzer Tinte als ""Der Fichtenbaum"" (R 599a) betitelt. Enthält eine Variante der 9 Anfangstakte der Klavierbegleitung sowie die Korrektur ""X"" und das Ende des Liedes. (vgl. vorliegenden Quelle, S. 17-20). | Blatt 8: Enthält Korrekturen zu ""Wo weilt er"", R 598 zu den Buchstaben A-C, wobei C nicht mit Rötel markiert ist (vgl. vorliegende Quelle, S. 33-38 und GSA 60/D 34). | Blatt 9r: Die Seite ist von Liszt mit Rötel als ""Vätergruft"" (R 601) betitelt. Enthält eine 19 taktige Variante der Stelle im 6/8-Takt (vgl. GSA 60/D 83). Am Ende der Seite notiert Liszt mit Bleistift: ""zurück zum [?]"". | Blatt 9v: Die Seite ist von Liszt mit schwarzer Tinte als ""Dahin - Dahin -"" (R 596a) betitelt. Enthält Korrekturen zur Klavierbegleitung (vgl. GSA 60/D 60, S. 25-28). ","Sammelquelle, vgl. GSA 60/D 34, GSA 60/D 83, GSA 60/D 60",Bogenlagerung wurde vermutlich nachträglich verändert (nicht sonderlich sinnvoll).,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191538,UR,,,,
,1001303393,"R 113,1 | S 573a | A297 ",Varianten zu einer Mazurka von [Pier Adolfo Tirindelli 104018879],D-WRgs,GSA 60/I 91,,,Arbeitsmanuskript,Korrekturblatt,,,,,,,per la pagina 5 - (2da Mazurka di [Tirindelli 104018879]),Liszt (rote Tinte),Kl,,,,,,31 Aout 80 - | [Rome 4050471-2].,1880-08-31,,,Rom,,4050471-2,"Liszt (schwarze und rote Tinte, roter Stift)","2 Blatt, 4 Seiten Notentext, foliiert und paginiert","Blatt 1, Querformat, 169 x 203 mm, 10 Notenzeilen, handrastriert; Blatt 2, Querformat, 173 x 266 mm, 6 Notenzeilen, handrastriert, oben abgeschnitten",,,"[J. A. Stargardt 31644-1], 1972-06","[J. A. Stargardt 31644-1], 1972-06",,,"Beiliegend ein Brief von Liszt an [Helene Augusz 1347945407], 01.09.1880 (2 Blatt).","Die Quelle umfasst zwei Einzelblätter, auf denen Varianten oder Ergänzungen zur zweiten Mazurka von Pier Tirindelli enthalten sind. Beide Papiere wurden gefaltet gelagert und restauriert. Die Zusammengehörigkeit erschließt sich durch Liszts durchgängige Buchstabennummerierung mit rotem Stift. Der Notentext des ersten Blattes ist mit schwarzer Tinte ausgeführt und an vielen Stellen zur Korrektur rasiert. Die Wiederholung des A-Teils ist mit rotem Stift sowie Tinte markiert, zudem notiert Liszt mit letzterer unter dem ersten System auf S. B: ""den ganzen Ges dur Satz wiederholt von Seite 4, 4te Zeile | dann hier weiter | (anstatt 1ma, | 2da"". Auf dem zweiten Blatt (S. C-D) finden sich keine Korrekturen, nur sehr starke Lagerungs- und Abnutzungsspuren. Am Ende der Komposition notiert Liszt mit schwarzer Tinte: ""weiter | zum Schluss, | Pag: 8, | 3te Zeile = | F. Liszt | 31 Aout 80 - | Rome."" Er wird damit auf die entsprechende Seite des Drucks verweisen.","GSA-Findbuch: Ankauf J. A. Stargardt, Juni 1972","Liszts notierte Musik entspricht NLGA II/18, S. 19, T. 100-176 [Blatt 1] und S. 21, T. 177-213 [Blatt 2].",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192444,DTie,,,,
,"464000215
[Eintrag besteht schon]","R 106,15 | S 244,15 | A132,15",Rákoczy-Marsch,D-B,"Mus.ms.autogr. Liszt, F. 11",,,Arbeitsmanuskript,Korrekturblatt,,,,,,,,,Kl,"Dolce grazioso, ma sempre marcato",,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext","Querformat, 247 x ca. 318 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Fragment/Korrekturblatt weist zwei Elemente auf, I: eine ""Kadenz"", die evtl anstelle von T. 21/22 erklingen könnte. Charakteristisch ist die Fermate auf der Dominanten, das folgende Arpeggio in beiden Händen sowie die triolische Geste. ""Korrektur2"" betrifft das Trio und ist von Liszt mit ""Trio No. 2"" markiert. Es handelt sich um die bekannte aus dem Dreiklang gewonnene Melodie, die in der hier vorliegenden Fassung jedoch leicht unterschiedlich begleitet wird als in der NLGA-Fassung der Rhapsodie. Die virtuose Weiterführung weicht dann insbesondere auf der Rückseite des Blattes deutlich von der bekannteren Fassung ab. Das Blatt wurde zweimal längs gefaltet aufbewahrt, weist keine Datierung oder sonstiges auf. Das Papier hat aber an einigen Stellen weiße, ""bleiche"" Flecken.",Es handelt sich hier möglicherweise um ein Korrekturblatt zu einer früheren Version der 15. Ungarischen Rhapsodie | oder der Marsch-Version. Betrifft hauptsächlich das Trio in A-Dur,,Photographiert,DTie,,,,
,1001352245,R 592b | S 275/2 | N8/2,Mignons Lied,D-WRgs,GSA 60/D 90,,,Arbeitsmanuskript,Korrekturblatt,,,,,,,,,"Singst, Kl",,,,,,,,,,,,,Liszt (schwarze Tinte),1 Blatt (2 Seiten Notentext),"Hochformat, 340 x 266 mm, 13 Notenzeilen, handrastriert",,,"1903, Helene Raff","""Geschenk von Frl. Helene Raff 1903"" [S. 1]",,,,"Auf [S. 1] notiert Liszt in 3 Systemen die Singstimme und Klavierbegleitung der 10 Takte umfassenden Stelle im 6/8-Takt. Auf [S. 2] schreibt er über dem Notentext links ""Begleitung zu Seite 9 und 10"" und notiert 18 Takte bis zum Schluss des Liedes, von denen die ersten 13 Takte nur die Klavierbegleitung enthalten und für die letzten 5 Takte die Singstimmen hinzukommt.",laut Krit. Bericht MW vii/2: Vorlage zu GSA 60/D 43 (S. VII),,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191636,UR,,,,
,,"R 238,1 und 2 | S 553 | A141",Deux Transcriptions d'après Rossini,D-WRgs,GSA 60/U 79,,,Arbeitsmanuskript,Korrekturblatt,,x,,,,,,,Kl,,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel)","4 Blatt zu 2 Bogen, 8 Seiten Notentext","Hochformat, ??? x ??? mm, 20 Notenlinien, handrastriert",,,,,,Das Papier ist vor allem zu Beginn der Quelle in einem relativ schlechten Zustand und an den Ecken bestoßen.,,"Die ""Korrekturblätter"" vor allem zu La charité sind überaus umfangreich und weisen nahezu den gesamten Notentext in Reinschrift auf. Verglichen mit dem Druck in LNA II, Bd. 23, S. 48-63 lassen sich die folgenden Übereinstimmungen/Konkordanzen ausmachen. Es beginnt mit La charité [S. 1-6], erst im Anschluss kommt das Stabat mater [S. 6-8].
La charité: Correctur A = T. 25 dritter Schlag-27, dritter Schlag; Correctur B =T 29, dritter Schlag-T. 34, dritter Schlag; Correctur C = T. 38-47, dritter Schlag. Die folgenden Passagen sind nicht mehr als Korrekturen bezeichnet. Letztes System [S. 2]-Ende [S. 3] = T. 51-61, zweiter Schlag; [S. 4]-drittes System [S. 6] = T. 63, dritter Schlag-95 (= bis Ende der Komposition).
Stabat mater: [S. 6], viertes System-Ende Seite = T. 33-41; [S. 7] Correctur zur Seite 9 = T. 60-75; Schlussseite [8] = T. 95-114.","Als sehr hilfreich zur Einordnung erweist sich der Kritische Bericht der LNA II, Bd. 23, S. XIIf. Zusammenhang mit GSA-Quellen N5, U 28 und U 68.

Druck HAAB unter Signatur L 1759 [auf zwei Digitalisate aufgeteilt]. Schott [1853], handschriftlich auf Druck vermerkt, allerdings steht in der Beschreibung 1848. Muss geprüft werden: https://haab-digital.klassik-stiftung.de/viewer/image/1766683908/2/",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209545,DTie,,,,
