WVZ-Nr. (R | S | E/M),edwoca-ID,,,,,,,
"R 582a,1-3 | S 292a | N32/1",1,,,,,,,
"R 582a,1",2,,,,,,,
"R 582a,2",3,,,,,,,
"R 582a,3",4,,,,,,,
R 504 | S 23 | J8,5,,,,,,,
R 488 | S 12 | J22,6,,,,,,,
R 488 | S 12 | J22,7,,,,,,,
R 556,8,,,,,,,
R 609a | S 297/1 | N34/1,9,,,,,,,
R 520 | S 22 | J52,10,,,,,,,
R 568 | S 279 | N10 ,11,,,,,,,
R 579 | S 280 | N23,12,,,,,,,
R 428 | S 111 | G37,13,,,,,,,
R 437 | S 119 | G35,14,,,,,,,
"R 106,4 | S 244/4 | A132/4",15,,,,,,,
"R 106,5 | S 244/5 | A132/5",16,,,,,,,
"R 106,9 | S 244/9 | A132/9",17,,,,,,,
"R 106,9 | S 244/9 | A132/9",18,,,,,,,
"R 106,11 | S 244/11 | A132/11",19,,,,,,,
"R 106,1 | S 244/1 | A132/1",20,,,,,,,
R 106 | R 244 | A132,21,,,,,,,
"R 106,6 | S 244/6 | A132/6",22,,,,,,,
"R 106,7 | S 244/7 | A132/7",23,,,,,,,
"R 106,8 | S 244/8 | A132/8",24,,,,,,,
"R 106,14 | S 244/14 | A132/14",25,,,,,,,
"R 106,10 | S 244/10 | A132/10",26,,,,,,,
"R 106,12 | S 244/12 | A132/12",27,,,,,,,
"R 106,13 | S 244/13 | A132/13",28,,,,,,,
"R 106,15 | S 244/15 | A132/15",29,,,,,,,
R 521a | S 41/1 | J26,30,,,,,,,
R 521b | S 41/2 | J26,32,,,,,,,
R 497 | S 38 | J24,33,,,,,,,
R 639 | S 681 | K4,34,,,,,,,
R 193 | S 504/1 | A247/1,35,,,,,,,
R 516a | S 40 | J28,36,,,,,,,
R 532b | S 42/2 | J 27/2,37,,,,,,,
R 611 | S 319 | N58,38,,,,,,,
R 615 | S 323 | N61,39,,,,,,,
R 657 | S 349 | P5,40,,,,,,,
R 608 | S 289/2 | N29/2,41,,,,,,,
R 608 | S 289/2 | N29/2,42,,,,,,,
R 608 | S 289/2 | N29/2,43,,,,,,,
R 517 | S 55 | J38,44,,,,,,,
R 527 | S 56 | J37,46,,,,,,,
R 527 | S 56 | J37,48,,,,,,,
R 396 | S 670 | E34,49,,,,,,,
R 602 | S 311/1 | N48/1,50,,,,,,,
R 602 | S 311/1 | N48/1,51,,,,,,,
R 510a | S 39/1 | J25,52,,,,,,,
R 510b | S 39/2 | J25,54,,,,,,,
"R 10b,1 | S 161/1 | A 55/1 ",55,,,,,,,
"R 10b,2 | S 161/2 | A 55/2 ",56,,,,,,,
R 580a | S 301/1 | N42/1,57,,,,,,,
R 601 | S 281 | N22,58,,,,,,,
R 315 | S 589 | B37,59,,,,,,,
R 322 | S 596 | B39,60,,,,,,,
[R 419] | S 596a | B49,61,,,,,,,
[R 422] | S 597b | B51,62,,,,,,,
"R 128,5 | S 463a | A37b",63,,,,,,,
"R 128,6 | S 463b | A37b",64,,,,,,,
R 10c | S 162 | A197,65,,,,,,,
"R 10c,1 | S 162/1 | A197/1",66,,,,,,,
"R 10c,2 | S 162/2 | A197/2",67,,,,,,,
"R 10c,3 | S 162/3 | A197/3",68,,,,,,,
R 538 | S 68 | L12,69,,,,,,,
