Sigel,Signatur,edwoca-ID,RISM-ID,Digitalisat,Digitalisat IIIF,Digitalisat ohne Kategorie,edwoca-Bearbeiter,zu überarbeiten
D-WRgs,GSA 60/D 2,1,1001305837,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191276,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/191276/manifest,,UR,False
D-WRgs,GSA 60/D 2,2,1001305851,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191276,,,UR,False
D-WRgs,GSA 60/D 2,3,1001351344,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191276,,,UR,False
D-WRgs,GSA 60/D 2,4,1001305863,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191276,,,UR,False
D-WRgs,GSA 60/B 26a,5,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190880,,,BV,False
D-WRgs,GSA 60/B 27,6,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190900,,,BV,False
D-WRgs,GSA 60/B 27,7,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190900,,,BV,False
D-WRgs,GSA 60/B 28,8,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190901,,,DTie,False
D-WRgs,GSA 60/D 3,9,1001305867,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191277,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/191277/manifest,,UR,False
D-WRgs,GSA 60/C 23,10,1001251816,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191215,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/191215/manifest,,BV,False
D-WRgs,GSA 60/D 6,11,1001234382,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191280,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/191280/manifest,,UR,False
D-WRgs,GSA 60/D 9,12,1001307358,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191289,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/191289/manifest,,UR,False
D-WRgs,GSA 60/A 25,13,1001340843,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190411,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/190411/manifest,,DTie,False
D-WRgs,GSA 60/A 28,14,1001259735,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190414,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/190414/manifest,,DTie,False
D-WRgs,GSA 60/I 1,15,1001258412,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192126,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/192126/manifest,,DTie,False
D-WRgs,GSA 60/I 2,16,1001258415,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192127,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/192127/manifest,,DTie,False
D-WRgs,GSA 60/I 3,17,1001258417,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192128,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/192128/manifest,,DTie,False
D-WRgs,GSA 60/I 4,18,1001258422,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192129,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/192129/manifest,,DTie,False
D-WRgs,GSA 60/I 6,19,1001236109,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192131,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/192131/manifest,,DTie,False
D-WRgs,GSA 60/I 7,20,1001238244,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192132,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/192132/manifest,,DTie,False
D-WRgs,GSA 60/I 9,21,1001266763,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/192134/manifest,,DTie,False
D-WRgs,GSA 60/I 9,22,1001267006,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,,,DTie,False
D-WRgs,GSA 60/I 9,23,1001267010,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,,,DTie,False
D-WRgs,GSA 60/I 9,24,1001267015,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,,,DTie,False
D-WRgs,GSA 60/I 9,25,1001267018,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,,,DTie,False
D-WRgs,GSA 60/I 9,26,1001267021,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,,,DTie,False
D-WRgs,GSA 60/I 9,27,1001267027,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,,,DTie,False
D-WRgs,GSA 60/I 9,28,1001267031,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,,,DTie,False
D-WRgs,GSA 60/I 9,29,1001267034,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,,,DTie,False
D-WRgs,GSA 60/C 12,30,1001249315,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191022,,,BV,False
D-WRgs,GSA 60/C 12,31,1001249304,,https://ores.klassik-stiftung.de/ords/rest_api/iiif/digi_gsa/191022/manifest,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191022,,False
