name,gnd_id
Kommissionsbuchhandel,4566978-8
Zwischenbuchhandel,4244193-6
"Verbreitender Buchhandel",4824827-7
Buchhandel,4008626-4
Verlag,4063004-3
Musikverlag,4170835-0
Firma,4017250-8
Musikalienhandel,4122294-5
"Leihbücherei",4167239-2
Bibliothek,4006439-6
"Kulturelle Einrichtung",4136812-5
Kultur,4125698-0
Einrichtung,4113393-6
"Körperschaft",4128521-9
"Juristische Person",4029063-3
Rechtssubjekt,4177269-6
Druckerei,4133333-0
"Schriftgießerei",4350515-6
"Gießerei",4020997-0
Sortimentsbuchhandel,4055640-2
Einzelhandel,4127747-8
Handel,4023222-0
Wirtschaft,4066399-1
Kunsthandel,4033647-5
Gesangverein,4156946-5
Laienchor,4274081-2
Chor,4010045-5
"Besetzung <Musik>",4136999-3
Verein,4062714-7
"Freiwillige Vereinigung",4155345-7
Organisation,4043774-7
Nonprofit-Organisation,4293729-2
Auktionshaus,4712310-2
Antiquariat,4002323-0
"Literarisches Museum",4167854-0
Museum,4040795-0
"Hofkapelle <Musik>",4160410-6
"Kapelle <Musik>",4163246-1
Orchester,4172708-3
"Gedenkstätte",4019622-7
Kulturstiftung,4493292-3
"Kulturförderung",4165973-9
Kulturpolitik,4033581-1
Stiftung,4057542-1
Theater,4059702-7
